"longitude","latitude"
-56.126789,-9.839442
-53.837778,-3.389167
-62.944722,-9.116111
-47.138353,3.395528
-57.846944,-9.122222
-59.939999,-3.0075
-52.370083,1.192167
-53.244678,-0.76475
-51.658889,0.9675
-48.583333,-3.794722
-61.649722,-9.591111
-63.251111,-8.915278
-62.903789,-9.251911
-61.6469,-9.3592
-59.2,-8.983333
-56.306111,-1.655278
-61.595136,-7.948514
-51.954722,-3.227222
-63.987778,-8.971389
-64.205556,-9.143889
-63.591667,-8.581667
-64.3489,-9.2442
-64.591356,-9.411556
-64.654939,-9.620525
-60.285058,-2.439172
-56,-4
-56.464167,-4.672222
-64.048056,-9.081667
-64.735833,-9.444722
-64.440833,-9.264167
-65.14,-4.881111
-65.355556,-4.898333
-64.617222,-9.263055
-64.95,-9.646944
-56.89,-2.158167
-59,-1
-56.457222,-1.815556
-59.96,-2.342
-62.05,-1.01
-51.986389,-2.301667
-48.473333,-2.102778
-48.171667,-3.433333
-48.288222,-3.725667
-48.470278,-3.290278
-49.16,-3.035278
-48.297778,-3.355
-60.08333,-2.31666
-59.685556,-2.315278
-59.116667,-0.583333
-59.116667,0.583333
-59.87,-2.4
-63,-5
-59.7458,-2.41625
-52.85,-0.45
-52.583333,-0.666667
-52.7,-0.783333
-52.85,-1.05
-54.718333,-2.436111
-63.22,-9.1
-52.916668,-1.116667
-59.97,-2.883333
-51.62,-0.17
-51.62,0.17
-52,1
-58.966667,-4.116667
-58.966667,-0.116667
-63.12,-9.166667
-63,-11
-59.35,-10.2
-60.05,-3.166667
-59.800556,-2.991389
-53,-4
-53.08982,-10.773109
-52.8731,-10.8339
-3.116667,1
-2.016667,-1.033333
-51.855556,1.515833
-67.81,-9.9747
-48.81,-3.483056
-54.3552,-11.5246
