especie,lon,lat
Dinizia excelsa Ducke,-56.126789,-9.839442
Dinizia excelsa Ducke,-59.9413,-3.003583
Dinizia excelsa Ducke,-53.837778,-3.389167
Dinizia excelsa Ducke,-62.944722,-9.116111
Dinizia excelsa Ducke,-57.846944,-9.122222
Dinizia excelsa Ducke,-52.380833,-1.3825
Dinizia excelsa Ducke,-52.369917,1.190722
Dinizia excelsa Ducke,-53.244722,-0.764722
Dinizia excelsa Ducke,-51.658889,0.9675
Dinizia excelsa Ducke,-48.583333,-3.794722
Dinizia excelsa Ducke,-61.645,-9.635555
Dinizia excelsa Ducke,-63.251111,-8.915278
Dinizia excelsa Ducke,-62.903789,-9.251911
Dinizia excelsa Ducke,-61.6469,-9.3592
Dinizia excelsa Ducke,-59.2,-8.983333
Dinizia excelsa Ducke,-56.306111,-1.655278
Dinizia excelsa Ducke,-61.595136,-7.948514
Dinizia excelsa Ducke,-51.954722,-3.227222
Dinizia excelsa Ducke,-64.34889,-9.244167
Dinizia excelsa Ducke,-63.99,-8.971389
Dinizia excelsa Ducke,-64.205556,-9.143889
Dinizia excelsa Ducke,-63.591667,-8.581667
Dinizia excelsa Ducke,-64.591356,-9.411556
Dinizia excelsa Ducke,-64.654939,-9.620525
Dinizia excelsa Ducke,-60.285058,-2.439172
Dinizia excelsa Ducke,-56,-4
Dinizia excelsa Ducke,-56.46425,-4.66725
Dinizia excelsa Ducke,-51.972222,-0.973889
Dinizia excelsa Ducke,-64.048055,-9.081667
Dinizia excelsa Ducke,-64.735833,-9.444722
Dinizia excelsa Ducke,-64.440833,-9.264167
Dinizia excelsa Ducke,-64.736111,-9.744722
Dinizia excelsa Ducke,-65.355556000000007,-4.898333
Dinizia excelsa Ducke,-64.617222,-9.263056
Dinizia excelsa Ducke,-64.95,-9.646944
Dinizia excelsa Ducke,-65.16,-4.885833
Dinizia excelsa Ducke,-48.798889,-2.797222
Dinizia excelsa Ducke,-56.893889,-2.891389
Dinizia excelsa Ducke,-56.893889,-2.158167
Dinizia excelsa Ducke,-59,-1
Dinizia excelsa Ducke,-56.457222,-1.815556
Dinizia excelsa Ducke,-59.96,-2.342
Dinizia excelsa Ducke,-62.089167,-1.028611
Dinizia excelsa Ducke,-51.986389,-2.301667
Dinizia excelsa Ducke,-48.473333,-2.102778
Dinizia excelsa Ducke,-48.171667,-3.433333
Dinizia excelsa Ducke,-48.288222,-3.725667
Dinizia excelsa Ducke,-48.470278,-3.290278
Dinizia excelsa Ducke,-49.16,-3.035278
Dinizia excelsa Ducke,-48.297778,-3.355
Dinizia excelsa Ducke,-60.083333,-2.316667
Dinizia excelsa Ducke,-59.685474,-2.31537
Dinizia excelsa Ducke,-59.116667,-0.583333
Dinizia excelsa Ducke,-59.116667,0.583333
Dinizia excelsa Ducke,-59.888611,-2.429167
Dinizia excelsa Ducke,-63,-5
Dinizia excelsa Ducke,-59.7458,-2.41625
Dinizia excelsa Ducke,-52.85,-0.45
Dinizia excelsa Ducke,-52.916667,-1.116667
Dinizia excelsa Ducke,-52.583333,-0.666667
Dinizia excelsa Ducke,-52.7,-0.783333
Dinizia excelsa Ducke,-52.85,-1.05
Dinizia excelsa Ducke,-54.718333,-2.436111
Dinizia excelsa Ducke,-63.22,-9.1
Dinizia excelsa Ducke,-59.97,-2.883333
Dinizia excelsa Ducke,-51.62,0.17
Dinizia excelsa Ducke,-52,1
Dinizia excelsa Ducke,-58.97,-4.116667
Dinizia excelsa Ducke,-58.966667,-0.116667
Dinizia excelsa Ducke,-51.616667,-0.166667
Dinizia excelsa Ducke,-63.116665,-9.166667
Dinizia excelsa Ducke,-63,-11
Dinizia excelsa Ducke,-59.35,-10.2
Dinizia excelsa Ducke,-60.05,-3.166667
Dinizia excelsa Ducke,-59.800556,-2.991389
Dinizia excelsa Ducke,-53,-4
Dinizia excelsa Ducke,-53.08982,-10.773109
Dinizia excelsa Ducke,-52.8731,-10.8339
Dinizia excelsa Ducke,-51.855556,1.515833
Dinizia excelsa Ducke,-67.81,-9.9747
Dinizia excelsa Ducke,-48.81,-3.483056
Dinizia excelsa Ducke,-54.3552,-11.5246
Dinizia excelsa Ducke,-59.85,-2.39
Dinizia excelsa Ducke,-51.63,0.86
Dinizia excelsa Ducke,-52.63,0.57
Dinizia excelsa Ducke,-52.08,0.39
Dinizia excelsa Ducke,-51.61687,-0.012935833
Dinizia excelsa Ducke,-51.18,2.75
Dinizia excelsa Ducke,-51.36,1.35
Dinizia excelsa Ducke,-51.71,2.48
Dinizia excelsa Ducke,-51.04,2.21
Dinizia excelsa Ducke,-52.45,0.9
