especie,lon,lat,fonte,origem,id_origem,especie_padrao
Dinizia excelsa Ducke,-56.126789,-9.839442,Inventario_ou_base_local,Arquivo local,NA,Dinizia excelsa
Dinizia excelsa Ducke,-59.9413,-3.003583,Inventario_ou_base_local,Arquivo local,NA,Dinizia excelsa
Dinizia excelsa Ducke,-53.837778,-3.389167,Inventario_ou_base_local,Arquivo local,NA,Dinizia excelsa
Dinizia excelsa Ducke,-62.944722,-9.116111,Inventario_ou_base_local,Arquivo local,NA,Dinizia excelsa
Dinizia excelsa Ducke,-47.138353,3.395528,Inventario_ou_base_local,Arquivo local,NA,Dinizia excelsa
Dinizia excelsa Ducke,-57.846944,-9.122222,Inventario_ou_base_local,Arquivo local,NA,Dinizia excelsa
Dinizia excelsa Ducke,-52.380833,-1.3825,Inventario_ou_base_local,Arquivo local,NA,Dinizia excelsa
Dinizia excelsa Ducke,-52.369917,1.190722,Inventario_ou_base_local,Arquivo local,NA,Dinizia excelsa
Dinizia excelsa Ducke,-53.244722,-0.764722,Inventario_ou_base_local,Arquivo local,NA,Dinizia excelsa
Dinizia excelsa Ducke,-51.658889,0.9675,Inventario_ou_base_local,Arquivo local,NA,Dinizia excelsa
Dinizia excelsa Ducke,-48.583333,-3.794722,Inventario_ou_base_local,Arquivo local,NA,Dinizia excelsa
Dinizia excelsa Ducke,-61.645,-9.635555,Inventario_ou_base_local,Arquivo local,NA,Dinizia excelsa
Dinizia excelsa Ducke,-63.251111,-8.915278,Inventario_ou_base_local,Arquivo local,NA,Dinizia excelsa
Dinizia excelsa Ducke,-62.903789,-9.251911,Inventario_ou_base_local,Arquivo local,NA,Dinizia excelsa
Dinizia excelsa Ducke,-61.6469,-9.3592,Inventario_ou_base_local,Arquivo local,NA,Dinizia excelsa
Dinizia excelsa Ducke,-59.2,-8.983333,Inventario_ou_base_local,Arquivo local,NA,Dinizia excelsa
Dinizia excelsa Ducke,-56.306111,-1.655278,Inventario_ou_base_local,Arquivo local,NA,Dinizia excelsa
Dinizia excelsa Ducke,-61.595136,-7.948514,Inventario_ou_base_local,Arquivo local,NA,Dinizia excelsa
Dinizia excelsa Ducke,-51.954722,-3.227222,Inventario_ou_base_local,Arquivo local,NA,Dinizia excelsa
Dinizia excelsa Ducke,-64.34889,-9.244167,Inventario_ou_base_local,Arquivo local,NA,Dinizia excelsa
Dinizia excelsa Ducke,-63.99,-8.971389,Inventario_ou_base_local,Arquivo local,NA,Dinizia excelsa
Dinizia excelsa Ducke,-64.205556,-9.143889,Inventario_ou_base_local,Arquivo local,NA,Dinizia excelsa
Dinizia excelsa Ducke,-63.591667,-8.581667,Inventario_ou_base_local,Arquivo local,NA,Dinizia excelsa
Dinizia excelsa Ducke,-64.591356,-9.411556,Inventario_ou_base_local,Arquivo local,NA,Dinizia excelsa
Dinizia excelsa Ducke,-64.654939,-9.620525,Inventario_ou_base_local,Arquivo local,NA,Dinizia excelsa
Dinizia excelsa Ducke,-60.285058,-2.439172,Inventario_ou_base_local,Arquivo local,NA,Dinizia excelsa
Dinizia excelsa Ducke,-56,-4,Inventario_ou_base_local,Arquivo local,NA,Dinizia excelsa
Dinizia excelsa Ducke,-56.46425,-4.66725,Inventario_ou_base_local,Arquivo local,NA,Dinizia excelsa
Dinizia excelsa Ducke,-51.972222,-0.973889,Inventario_ou_base_local,Arquivo local,NA,Dinizia excelsa
Dinizia excelsa Ducke,-64.048055,-9.081667,Inventario_ou_base_local,Arquivo local,NA,Dinizia excelsa
Dinizia excelsa Ducke,-64.735833,-9.444722,Inventario_ou_base_local,Arquivo local,NA,Dinizia excelsa
Dinizia excelsa Ducke,-64.440833,-9.264167,Inventario_ou_base_local,Arquivo local,NA,Dinizia excelsa
Dinizia excelsa Ducke,-64.736111,-9.744722,Inventario_ou_base_local,Arquivo local,NA,Dinizia excelsa
Dinizia excelsa Ducke,-65.355556000000007,-4.898333,Inventario_ou_base_local,Arquivo local,NA,Dinizia excelsa
Dinizia excelsa Ducke,-64.617222,-9.263056,Inventario_ou_base_local,Arquivo local,NA,Dinizia excelsa
Dinizia excelsa Ducke,-64.95,-9.646944,Inventario_ou_base_local,Arquivo local,NA,Dinizia excelsa
Dinizia excelsa Ducke,-65.16,-4.885833,Inventario_ou_base_local,Arquivo local,NA,Dinizia excelsa
Dinizia excelsa Ducke,-48.798889,-2.797222,Inventario_ou_base_local,Arquivo local,NA,Dinizia excelsa
Dinizia excelsa Ducke,-56.893889,-2.891389,Inventario_ou_base_local,Arquivo local,NA,Dinizia excelsa
Dinizia excelsa Ducke,-56.893889,-2.158167,Inventario_ou_base_local,Arquivo local,NA,Dinizia excelsa
Dinizia excelsa Ducke,-59,-1,Inventario_ou_base_local,Arquivo local,NA,Dinizia excelsa
Dinizia excelsa Ducke,-56.457222,-1.815556,Inventario_ou_base_local,Arquivo local,NA,Dinizia excelsa
Dinizia excelsa Ducke,-59.96,-2.342,Inventario_ou_base_local,Arquivo local,NA,Dinizia excelsa
Dinizia excelsa Ducke,-62.089167,-1.028611,Inventario_ou_base_local,Arquivo local,NA,Dinizia excelsa
Dinizia excelsa Ducke,-51.986389,-2.301667,Inventario_ou_base_local,Arquivo local,NA,Dinizia excelsa
Dinizia excelsa Ducke,-48.473333,-2.102778,Inventario_ou_base_local,Arquivo local,NA,Dinizia excelsa
Dinizia excelsa Ducke,-48.171667,-3.433333,Inventario_ou_base_local,Arquivo local,NA,Dinizia excelsa
Dinizia excelsa Ducke,-48.288222,-3.725667,Inventario_ou_base_local,Arquivo local,NA,Dinizia excelsa
Dinizia excelsa Ducke,-48.470278,-3.290278,Inventario_ou_base_local,Arquivo local,NA,Dinizia excelsa
Dinizia excelsa Ducke,-49.16,-3.035278,Inventario_ou_base_local,Arquivo local,NA,Dinizia excelsa
Dinizia excelsa Ducke,-48.297778,-3.355,Inventario_ou_base_local,Arquivo local,NA,Dinizia excelsa
Dinizia excelsa Ducke,-60.083333,-2.316667,Inventario_ou_base_local,Arquivo local,NA,Dinizia excelsa
Dinizia excelsa Ducke,-59.685474,-2.31537,Inventario_ou_base_local,Arquivo local,NA,Dinizia excelsa
Dinizia excelsa Ducke,-59.116667,-0.583333,Inventario_ou_base_local,Arquivo local,NA,Dinizia excelsa
Dinizia excelsa Ducke,-59.116667,0.583333,Inventario_ou_base_local,Arquivo local,NA,Dinizia excelsa
Dinizia excelsa Ducke,-59.888611,-2.429167,Inventario_ou_base_local,Arquivo local,NA,Dinizia excelsa
Dinizia excelsa Ducke,-63,-5,Inventario_ou_base_local,Arquivo local,NA,Dinizia excelsa
Dinizia excelsa Ducke,-59.7458,-2.41625,Inventario_ou_base_local,Arquivo local,NA,Dinizia excelsa
Dinizia excelsa Ducke,-52.85,-0.45,Inventario_ou_base_local,Arquivo local,NA,Dinizia excelsa
Dinizia excelsa Ducke,-52.916667,-1.116667,Inventario_ou_base_local,Arquivo local,NA,Dinizia excelsa
Dinizia excelsa Ducke,-52.583333,-0.666667,Inventario_ou_base_local,Arquivo local,NA,Dinizia excelsa
Dinizia excelsa Ducke,-52.7,-0.783333,Inventario_ou_base_local,Arquivo local,NA,Dinizia excelsa
Dinizia excelsa Ducke,-52.85,-1.05,Inventario_ou_base_local,Arquivo local,NA,Dinizia excelsa
Dinizia excelsa Ducke,-54.718333,-2.436111,Inventario_ou_base_local,Arquivo local,NA,Dinizia excelsa
Dinizia excelsa Ducke,-63.22,-9.1,Inventario_ou_base_local,Arquivo local,NA,Dinizia excelsa
Dinizia excelsa Ducke,-59.97,-2.883333,Inventario_ou_base_local,Arquivo local,NA,Dinizia excelsa
Dinizia excelsa Ducke,-51.62,0.17,Inventario_ou_base_local,Arquivo local,NA,Dinizia excelsa
Dinizia excelsa Ducke,-52,1,Inventario_ou_base_local,Arquivo local,NA,Dinizia excelsa
Dinizia excelsa Ducke,-58.97,-4.116667,Inventario_ou_base_local,Arquivo local,NA,Dinizia excelsa
Dinizia excelsa Ducke,-58.966667,-0.116667,Inventario_ou_base_local,Arquivo local,NA,Dinizia excelsa
Dinizia excelsa Ducke,-51.616667,-0.166667,Inventario_ou_base_local,Arquivo local,NA,Dinizia excelsa
Dinizia excelsa Ducke,-63.116665,-9.166667,Inventario_ou_base_local,Arquivo local,NA,Dinizia excelsa
Dinizia excelsa Ducke,-63,-11,Inventario_ou_base_local,Arquivo local,NA,Dinizia excelsa
Dinizia excelsa Ducke,-59.35,-10.2,Inventario_ou_base_local,Arquivo local,NA,Dinizia excelsa
Dinizia excelsa Ducke,-60.05,-3.166667,Inventario_ou_base_local,Arquivo local,NA,Dinizia excelsa
Dinizia excelsa Ducke,-59.800556,-2.991389,Inventario_ou_base_local,Arquivo local,NA,Dinizia excelsa
Dinizia excelsa Ducke,-53,-4,Inventario_ou_base_local,Arquivo local,NA,Dinizia excelsa
Dinizia excelsa Ducke,-53.08982,-10.773109,Inventario_ou_base_local,Arquivo local,NA,Dinizia excelsa
Dinizia excelsa Ducke,-52.8731,-10.8339,Inventario_ou_base_local,Arquivo local,NA,Dinizia excelsa
Dinizia excelsa Ducke,-3.116667,1,Inventario_ou_base_local,Arquivo local,NA,Dinizia excelsa
Dinizia excelsa Ducke,-2.016667,-1.033333,Inventario_ou_base_local,Arquivo local,NA,Dinizia excelsa
Dinizia excelsa Ducke,-51.855556,1.515833,Inventario_ou_base_local,Arquivo local,NA,Dinizia excelsa
Dinizia excelsa Ducke,-67.81,-9.9747,Inventario_ou_base_local,Arquivo local,NA,Dinizia excelsa
Dinizia excelsa Ducke,-48.81,-3.483056,Inventario_ou_base_local,Arquivo local,NA,Dinizia excelsa
Dinizia excelsa Ducke,-54.3552,-11.5246,Inventario_ou_base_local,Arquivo local,NA,Dinizia excelsa
Dinizia excelsa Ducke,-59.85,-2.39,Inventario_ou_base_local,Arquivo local,NA,Dinizia excelsa
Dinizia excelsa Ducke,-51.63,0.86,Inventario_ou_base_local,Arquivo local,NA,Dinizia excelsa
Dinizia excelsa Ducke,-52.63,0.57,Inventario_ou_base_local,Arquivo local,NA,Dinizia excelsa
Dinizia excelsa Ducke,-52.08,0.39,Inventario_ou_base_local,Arquivo local,NA,Dinizia excelsa
Dinizia excelsa Ducke,-51.61687,-0.012935833,Inventario_ou_base_local,Arquivo local,NA,Dinizia excelsa
Dinizia excelsa Ducke,-51.18,2.75,Inventario_ou_base_local,Arquivo local,NA,Dinizia excelsa
Dinizia excelsa Ducke,-51.36,1.35,Inventario_ou_base_local,Arquivo local,NA,Dinizia excelsa
Dinizia excelsa Ducke,-51.71,2.48,Inventario_ou_base_local,Arquivo local,NA,Dinizia excelsa
Dinizia excelsa Ducke,-51.04,2.21,Inventario_ou_base_local,Arquivo local,NA,Dinizia excelsa
Dinizia excelsa Ducke,-52.45,0.9,Inventario_ou_base_local,Arquivo local,NA,Dinizia excelsa
Dinizia excelsa Ducke,-51.18,3.24,Inventario_ou_base_local,Arquivo local,NA,Dinizia excelsa
Dinizia excelsa Ducke,-51.31,2.93,Inventario_ou_base_local,Arquivo local,NA,Dinizia excelsa
Dinizia excelsa Ducke,-51.899289,0.129209,Inventario_ou_base_local,Arquivo local,NA,Dinizia excelsa
Dinizia excelsa Ducke,-51.18,1.76,Inventario_ou_base_local,Arquivo local,NA,Dinizia excelsa
Dinizia excelsa Ducke,-51.4,2.39,Inventario_ou_base_local,Arquivo local,NA,Dinizia excelsa
Dinizia excelsa Ducke,-51.8,3.43,Inventario_ou_base_local,Arquivo local,NA,Dinizia excelsa
Dinizia excelsa Ducke,-51.04,2.93,Inventario_ou_base_local,Arquivo local,NA,Dinizia excelsa
Dinizia excelsa Ducke,-51.18,3.43,Inventario_ou_base_local,Arquivo local,NA,Dinizia excelsa
Dinizia excelsa Ducke,-51.04,2.48,Inventario_ou_base_local,Arquivo local,NA,Dinizia excelsa
Dinizia excelsa Ducke,-51.31,2.16,Inventario_ou_base_local,Arquivo local,NA,Dinizia excelsa
Dinizia excelsa Ducke,-51.53,2.03,Inventario_ou_base_local,Arquivo local,NA,Dinizia excelsa
Dinizia excelsa Ducke,-51.04,2.3,Inventario_ou_base_local,Arquivo local,NA,Dinizia excelsa
Dinizia excelsa Ducke,-52.18,1.22,Inventario_ou_base_local,Arquivo local,NA,Dinizia excelsa
Dinizia excelsa Ducke,-51.4,2.48,Inventario_ou_base_local,Arquivo local,NA,Dinizia excelsa
Dinizia excelsa Ducke,-52.22,0.81,Inventario_ou_base_local,Arquivo local,NA,Dinizia excelsa
Dinizia excelsa Ducke,-51.49,2.48,Inventario_ou_base_local,Arquivo local,NA,Dinizia excelsa
Dinizia excelsa Ducke,-51.31,1.71,Inventario_ou_base_local,Arquivo local,NA,Dinizia excelsa
Dinizia excelsa Ducke,-51.93,2.93,Inventario_ou_base_local,Arquivo local,NA,Dinizia excelsa
Dinizia excelsa Ducke,-51.75,3.24,Inventario_ou_base_local,Arquivo local,NA,Dinizia excelsa
Dinizia excelsa Ducke,-52.31,1.26,Inventario_ou_base_local,Arquivo local,NA,Dinizia excelsa
Dinizia excelsa Ducke,-52.35,0.16,Inventario_ou_base_local,Arquivo local,NA,Dinizia excelsa
Dinizia excelsa Ducke,-51.89711,0.126236,Inventario_ou_base_local,Arquivo local,NA,Dinizia excelsa
Dinizia excelsa Ducke,-52.18,1.26,Inventario_ou_base_local,Arquivo local,NA,Dinizia excelsa
Dinizia excelsa Ducke,-52.35,0.9,Inventario_ou_base_local,Arquivo local,NA,Dinizia excelsa
Dinizia excelsa Ducke,-52.95556944,1.018297222,Inventario_ou_base_local,Arquivo local,NA,Dinizia excelsa
Dinizia excelsa Ducke,-52.08,0.9,Inventario_ou_base_local,Arquivo local,NA,Dinizia excelsa
Dinizia excelsa Ducke,-52.94613611,1.018688889,Inventario_ou_base_local,Arquivo local,NA,Dinizia excelsa
Dinizia excelsa Ducke,-52.08,1.26,Inventario_ou_base_local,Arquivo local,NA,Dinizia excelsa
Dinizia excelsa Ducke,-53.225626,0.77088,Inventario_ou_base_local,Arquivo local,NA,Dinizia excelsa
