especie_padrao,especie,lon,lat,fonte,origem,id_origem,bio3_isotermalidade,bio4_sazonalidade_temperatura,bio5_temp_max_mes_quente,bio8_temp_media_trimestre_umido,bio12_precipitacao_anual,bio13_precipitacao_mes_umido,bio14_precipitacao_mes_seco,bio18_precipitacao_trimestre_quente,bio19_precipitacao_trimestre_frio,celula_raster
Dinizia excelsa,Dinizia excelsa Ducke,-59.162667,-8.999722,GBIF,PRESERVED_SPECIMEN,5886261390,68.85316467285156,36.82342147827149,33.88275146484375,25.518625259399418,1992,314,8,264,118,15730
Dinizia excelsa,Dinizia excelsa Ducke,-59.968854,-2.933488,GBIF,HUMAN_OBSERVATION,5282180173,80.94942474365234,49.023834228515625,31.92599868774414,26.09166717529297,2319,304,71,391,857,9101
Dinizia excelsa,Dinizia excelsa Ducke,-51.910556,1.106389,GBIF,PRESERVED_SPECIMEN,5934879912,78.3746566772461,69.02900695800781,32.0212516784668,25.386375427246097,2392,336,59,197,864,4733
Dinizia excelsa,Dinizia excelsa Ducke,-46.799722,-3.6225,GBIF,PRESERVED_SPECIMEN,6184281981,82.82655334472656,42.42207336425781,31.697999954223633,25.42191696166992,1722,349,33,257,855,9916
Dinizia excelsa,Dinizia excelsa Ducke,-63.021667,-9.216389,GBIF,PRESERVED_SPECIMEN,5100796303,71.39488220214844,48.35960006713867,32.83625030517578,25.43020820617676,2328,383,10,513,168,16074
Dinizia excelsa,Dinizia excelsa Ducke,-51.834167,-1.799167,GBIF,PRESERVED_SPECIMEN,5058437401,83.217926025390625,51.51371765136719,32.249000549316406,25.851499557495117,2287,350,50,191,834,7861
Dinizia excelsa,Dinizia excelsa Ducke,-52.514444,-0.295278,GBIF,PRESERVED_SPECIMEN,5867697878,81.15682220458984,61.0997200012207,32.04975128173828,25.59533309936523,2360,325,50,191,835,6201
Dinizia excelsa,Dinizia excelsa Ducke,-52.531389,-0.159444,GBIF,PRESERVED_SPECIMEN,6184281045,80.857635498046875,61.97165298461914,32.02349853515625,25.51995849609375,2380,327,51,195,843,6017
Dinizia excelsa,Dinizia excelsa Ducke,-52.37,1.191389,GBIF,PRESERVED_SPECIMEN,6233137305,79.50750732421875,65.26290130615234,32.16725158691406,25.487415313720703,2393,321,63,208,827,4546
Dinizia excelsa,Dinizia excelsa Ducke,-52.833056,-0.456389,GBIF,PRESERVED_SPECIMEN,4079375498,81.09661102294922,60.82156753540039,31.657249450683594,25.262083053588867,2337,332,50,185,816,6384
Dinizia excelsa,Dinizia excelsa Ducke,-62.916111,-9.262778,GBIF,PRESERVED_SPECIMEN,5832506757,71.54638671875,47.678924560546875,32.56224822998047,25.317459106445313,2391,385,12,533,168,16075
Dinizia excelsa,Dinizia excelsa Ducke,-62,-9.116111,GBIF,PRESERVED_SPECIMEN,5236453864,70.60895538330078,42.366600036621094,33.24174880981445,25.28183364868164,2281,339,19,349,171,15897
Dinizia excelsa,Dinizia excelsa Ducke,-63.94,-8.854167,GBIF,PRESERVED_SPECIMEN,4928892891,72.32283020019531,47.810035705566406,33.25600051879883,25.843542098999023,2185,337,25,500,177,15701
Dinizia excelsa,Dinizia excelsa Ducke,-52.380833,-1.599167,GBIF,PRESERVED_SPECIMEN,3761307392,82.98522186279297,56.00164794921875,32.52799987792969,26.17366600036621,2032,320,42,158,711,7674
Dinizia excelsa,Dinizia excelsa Ducke,-52.946266,1.963061,GBIF,HUMAN_OBSERVATION,5198516425,80.69622039794922,59.14328384399414,31.990249633789063,25.200624465942383,2360,343,58,209,767,3807
Dinizia excelsa,Dinizia excelsa Ducke,-61.649722,-9.591111,GBIF,PRESERVED_SPECIMEN,1852375276,70.72169494628906,43.33748626708984,32.95075225830078,25.034332275390625,2157,338,17,260,129,16451
Dinizia excelsa,Dinizia excelsa Ducke,-61.646944,-9.359167,GBIF,PRESERVED_SPECIMEN,1423931996,70.78880310058594,42.09244918823242,32.93300247192383,25.037416458129883,2187,334,16,277,135,16267
Dinizia excelsa,Dinizia excelsa Ducke,-64.348888,-9.244167,GBIF,PRESERVED_SPECIMEN,1095257597,73.4112548828125,50.661773681640625,33.3385009765625,26.11858367919922,1996,293,25,472,173,16066
Dinizia excelsa,Dinizia excelsa Ducke,-60.09,-2.3828,GBIF,PRESERVED_SPECIMEN,1042713253,81.82691955566406,45.445594787597656,31.76549911499023,26.09608268737793,2404,319,98,427,790,8548
Dinizia excelsa,Dinizia excelsa Ducke,-56.464167,-4.672222,GBIF,PRESERVED_SPECIMEN,1314921506,77.35296630859375,54.63097381591797,32.77975082397461,26.207624435424805,2134,309,65,388,839,11146
Dinizia excelsa,Dinizia excelsa Ducke,-51.972222,0.973889,GBIF,PRESERVED_SPECIMEN,1094891943,78.49195861816406,68.9582290649414,32.010250091552734,25.351333618164063,2379,336,59,194,865,4917
Dinizia excelsa,Dinizia excelsa Ducke,-64.048056,-9.081667,GBIF,PRESERVED_SPECIMEN,1094915466,72.86280059814453,48.65624237060547,33.17274856567383,25.8439998626709,2112,322,24,488,175,15884
Dinizia excelsa,Dinizia excelsa Ducke,-64.736111,-9.444722,GBIF,PRESERVED_SPECIMEN,1094910876,74.23649597167969,52.480735778808594,33.2234992980957,26.16904067993164,1857,263,24,446,171,16248
Dinizia excelsa,Dinizia excelsa Ducke,-64.617222,-9.263055,GBIF,PRESERVED_SPECIMEN,1095252765,73.86454010009766,50.56161117553711,33.247501373291016,26.131290435791016,1948,281,25,465,172,16065
Dinizia excelsa,Dinizia excelsa Ducke,-48.798889,-2.180556,GBIF,PRESERVED_SPECIMEN,1094838042,86.45116424560547,39.39651870727539,31.7237491607666,25.92275047302246,2437,423,64,216,1156,8432
Dinizia excelsa,Dinizia excelsa Ducke,-56.893889,-2.158056,GBIF,PRESERVED_SPECIMEN,1094914201,77.27635955810547,66.43138122558594,32.89125061035156,26.25149917602539,2417,399,50,254,1012,8199
Dinizia excelsa,Dinizia excelsa Ducke,-60.658681,-3.154839,GBIF,PRESERVED_SPECIMEN,5053820358,83.69599914550781,41.37446975708008,31.86349868774414,26.34941673278809,2236,304,51,363,876,9281
Dinizia excelsa,Dinizia excelsa Ducke,-62.05,-1.01,GBIF,PRESERVED_SPECIMEN,2302451366,87.56275177001953,31.432470321655273,31.506250381469727,26.12787437438965,2594,341,150,474,832,7064
Dinizia excelsa,Dinizia excelsa Ducke,-48.330556,-3.34,GBIF,PRESERVED_SPECIMEN,2302451249,86.885955810546875,40.19551467895508,31.6877498626709,25.675582885742188,2045,386,42,205,1016,9723
Dinizia excelsa,Dinizia excelsa Ducke,-48.483611,-3.285833,GBIF,PRESERVED_SPECIMEN,2302451226,87.18194580078125,40.714012145996094,31.860750198364254,25.855499267578125,2125,397,46,209,1051,9538
Dinizia excelsa,Dinizia excelsa Ducke,-59.407778,-10.223611,GBIF,PRESERVED_SPECIMEN,4953875241,68.28376770019531,49.40061950683594,33.872249603271484,24.959625244140625,1949,332,8,230,91,17200
Dinizia excelsa,Dinizia excelsa Ducke,-59.860682,-2.442484,GBIF,PRESERVED_SPECIMEN,1931244114,81.28404235839844,47.41268157958984,31.71125030517578,26.01241683959961,2393,319,98,421,792,8549
Dinizia excelsa,Dinizia excelsa Ducke,-59.685556,-2.315278,GBIF,PRESERVED_SPECIMEN,2997906713,81.02991485595703,48.05419158935547,31.919750213623047,26.181625366210938,2398,324,106,410,789,8366
Dinizia excelsa,Dinizia excelsa Ducke,-60.063819,-3.553975,GBIF,PRESERVED_SPECIMEN,5053820427,81.84859466552734,45.436492919921875,32.118499755859375,26.447250366210938,2184,285,60,369,834,9836
Dinizia excelsa,Dinizia excelsa Ducke,-59.74583,-2.41625,GBIF,PRESERVED_SPECIMEN,2562909064,80.78584289550781,48.940696716308594,31.828248977661133,26.087833404541016,2376,315,98,408,802,8550
Dinizia excelsa,Dinizia excelsa Ducke,-63.216667,-9.1,GBIF,PRESERVED_SPECIMEN,1257579480,71.271820068359375,48.023101806640625,33.02425003051758,25.540708541870117,2297,370,13,504,176,15889
Dinizia excelsa,Dinizia excelsa Ducke,-51.616667,0.166667,GBIF,PRESERVED_SPECIMEN,1314874451,78.87757873535156,68.5295181274414,32.748748779296875,25.798166275024418,2338,345,37,150,901,5655
Dinizia excelsa,Dinizia excelsa Ducke,-51.62,-0.17,GBIF,PRESERVED_SPECIMEN,2997949348,80.06658935546875,64.2341537475586,32.951751708984375,25.953582763671875,2383,329,46,194,900,6207
Dinizia excelsa,Dinizia excelsa Ducke,-58.966667,-4.116667,GBIF,PRESERVED_SPECIMEN,1423973642,79.57337951660156,50.833099365234375,32.54999923706055,26.591251373291016,2234,292,85,362,837,10395
Dinizia excelsa,Dinizia excelsa Ducke,-63.11666,-9.16666,GBIF,PRESERVED_SPECIMEN,1260255018,71.58234405517578,48.47687149047851,32.586997985839844,25.401500701904297,2351,380,13,510,177,15890
Dinizia excelsa,Dinizia excelsa Ducke,-54.355206,-11.524631,GBIF,MATERIAL_SAMPLE,2250336801,68.98633575439453,64.53893280029297,34.56850051879883,25.13774871826172,1890,331,1,481,47,18702
Dinizia excelsa,Dinizia excelsa Ducke,-65.18,-4.88,GBIF,HUMAN_OBSERVATION,2465009622,83.782257080078125,28.218034744262695,32.050750732421875,26.379249572753903,2442,316,89,500,408,11277
Dinizia excelsa,Dinizia excelsa Ducke,-60.535278,-3.603056,GBIF,PRESERVED_SPECIMEN,5053820424,83.71955108642578,39.335968017578125,32.06449890136719,26.451915740966797,2246,298,57,377,866,9833
Dinizia excelsa,Dinizia excelsa Ducke,-56.126789,-9.839442,Inventario_ou_base_local,Arquivo local,NA,66.76979064941406,66.635986328125,36.36125183105469,25.923166275024418,2235,339,8,339,991,16852
Dinizia excelsa,Dinizia excelsa Ducke,-53.837778,-3.389167,Inventario_ou_base_local,Arquivo local,NA,79.39440155029297,52.68865585327149,31.072500228881836,24.802583694458008,1674,299,39,172,751,9689
