especie,lon,lat,pais,estado,data_evento,tipo_registro,instituicao,colecao,numero_catalogo,incerteza_m,fonte
"Bradypus variegatus Schinz, 1825",-75.429925,10.354285,Colombia,Bolívar,2026-01-02T14:45:03,HUMAN_OBSERVATION,iNaturalist,Observations,333206513,503,GBIF
"Bradypus variegatus Schinz, 1825",-84.602317,10.331367,Costa Rica,Alajuela,2026-01-01T12:42:24,HUMAN_OBSERVATION,iNaturalist,Observations,333232718,NA,GBIF
"Bradypus variegatus Schinz, 1825",-84.208185,10.331968,Costa Rica,Alajuela,2026-01-01T15:45:22,HUMAN_OBSERVATION,iNaturalist,Observations,333232689,NA,GBIF
"Bradypus variegatus Schinz, 1825",-84.005792,10.431255,Costa Rica,Heredia,2026-01-02T09:56:45,HUMAN_OBSERVATION,iNaturalist,Observations,333249330,4,GBIF
"Bradypus variegatus Schinz, 1825",-75.547428,10.422957,Colombia,Bolívar,2026-01-04T11:35:49,HUMAN_OBSERVATION,iNaturalist,Observations,333513485,120,GBIF
"Bradypus variegatus Schinz, 1825",-84.65051,10.469904,Costa Rica,Alajuela,2026-01-13T05:27:42,HUMAN_OBSERVATION,iNaturalist,Observations,335434290,545,GBIF
"Bradypus variegatus Schinz, 1825",-84.724808,10.47712,Costa Rica,Alajuela,2026-01-07T10:09:32,HUMAN_OBSERVATION,iNaturalist,Observations,334111132,2,GBIF
"Bradypus variegatus Schinz, 1825",-83.340048,10.087216,Costa Rica,Limón,2026-01-10T10:28:18,HUMAN_OBSERVATION,iNaturalist,Observations,334404656,NA,GBIF
"Bradypus variegatus ephippiger Philippi, 1870",-84.681647,10.583138,Costa Rica,Alajuela,2026-01-03T09:34:42,HUMAN_OBSERVATION,iNaturalist,Observations,333851063,213,GBIF
"Bradypus variegatus Schinz, 1825",-45.224797,-23.53196,Brazil,São Paulo,2026-01-10T10:04:31,HUMAN_OBSERVATION,iNaturalist,Observations,334339396,NA,GBIF
"Bradypus variegatus Schinz, 1825",-84.7248,10.47713,Costa Rica,Alajuela,2026-01-07T10:32:43,HUMAN_OBSERVATION,iNaturalist,Observations,333874389,3,GBIF
"Bradypus variegatus Schinz, 1825",-84.653778,10.471633,Costa Rica,Alajuela,2026-01-05T18:54:19,HUMAN_OBSERVATION,iNaturalist,Observations,333814254,4,GBIF
"Bradypus variegatus Schinz, 1825",-82.713203,9.640108,Costa Rica,Limón,2026-01-09T09:43:36,HUMAN_OBSERVATION,iNaturalist,Observations,334430295,4,GBIF
"Bradypus variegatus Schinz, 1825",-82.771775,9.644438,Costa Rica,Limón,2026-01-02T12:48:02,HUMAN_OBSERVATION,iNaturalist,Observations,333238312,3788,GBIF
"Bradypus variegatus ephippiger Philippi, 1870",-84.652571,10.469828,Costa Rica,Alajuela,2026-01-24T14:47:45,HUMAN_OBSERVATION,iNaturalist,Observations,336018572,372,GBIF
"Bradypus variegatus Schinz, 1825",-82.181486,9.340409,Panama,Bocas del Toro,2026-01-25T20:00,HUMAN_OBSERVATION,iNaturalist,Observations,336282839,33,GBIF
"Bradypus variegatus Schinz, 1825",-85.048982,10.717529,Costa Rica,Alajuela,2026-01-19T12:59:40,HUMAN_OBSERVATION,iNaturalist,Observations,335526528,NA,GBIF
"Bradypus variegatus Schinz, 1825",-70.344058,-3.817311,Peru,Loreto,2026-01-03T15:09,HUMAN_OBSERVATION,iNaturalist,Observations,335969989,623,GBIF
"Bradypus variegatus Schinz, 1825",-84.61036,10.499099,Costa Rica,Alajuela,2026-01-04T16:01,HUMAN_OBSERVATION,iNaturalist,Observations,333691206,468,GBIF
"Bradypus variegatus Schinz, 1825",-85.047944,10.72138,Costa Rica,Alajuela,2026-01-07T08:58:43,HUMAN_OBSERVATION,iNaturalist,Observations,333930903,20,GBIF
"Bradypus variegatus Schinz, 1825",-82.765667,9.653533,Costa Rica,Limón,2026-01-09T16:00,HUMAN_OBSERVATION,iNaturalist,Observations,334206014,6,GBIF
"Bradypus variegatus Schinz, 1825",-84.654403,10.470575,Costa Rica,Alajuela,2026-01-05T18:36:09,HUMAN_OBSERVATION,iNaturalist,Observations,333813541,4,GBIF
"Bradypus variegatus Schinz, 1825",-83.87369,9.295076,Costa Rica,Puntarenas,2026-01-07T13:42,HUMAN_OBSERVATION,iNaturalist,Observations,334424952,2,GBIF
"Bradypus variegatus Schinz, 1825",-84.610382,10.499215,Costa Rica,Alajuela,2026-01-04T15:54,HUMAN_OBSERVATION,iNaturalist,Observations,333691205,893,GBIF
"Bradypus variegatus Schinz, 1825",-84.592354,10.360445,Costa Rica,Alajuela,2026-01-24T06:12:16,HUMAN_OBSERVATION,iNaturalist,Observations,335940054,NA,GBIF
