especie,lon,lat,bio3_isotermalidade,bio4_sazonalidade_temperatura,bio5_temp_max_mes_quente,bio8_temp_media_trimestre_umido,bio12_precipitacao_anual,bio13_precipitacao_mes_umido,bio14_precipitacao_mes_seco,bio18_precipitacao_trimestre_quente,bio19_precipitacao_trimestre_frio,elevacao,declividade,orientacao
Dinizia excelsa Ducke,-59.162667,-8.999722,68.85316467285156,36.82342147827149,33.88275146484375,25.518625259399418,1992,314,8,264,118,183,0.1103033819472052,227.15772591269553
Dinizia excelsa Ducke,-59.968854,-2.933488,80.94942474365234,49.023834228515625,31.92599868774414,26.09166717529297,2319,304,71,391,857,78,0.0883913194611409,191.3485521100272
Dinizia excelsa Ducke,-51.910556,1.106389,78.3746566772461,69.02900695800781,32.0212516784668,25.386375427246097,2392,336,59,197,864,175,0.02606427806782154,349.76089468590476
Dinizia excelsa Ducke,-46.799722,-3.6225,82.82655334472656,42.42207336425781,31.697999954223633,25.42191696166992,1722,349,33,257,855,148,0.12278024915230336,334.43294851820787
Dinizia excelsa Ducke,-63.021667,-9.216389,71.39488220214844,48.35960006713867,32.83625030517578,25.43020820617676,2328,383,10,513,168,116,0.03334523221307559,322.4207225734097
Dinizia excelsa Ducke,-51.834167,-1.799167,83.217926025390625,51.51371765136719,32.249000549316406,25.851499557495117,2287,350,50,191,834,40,0.04690376537208884,325.95070974927177
Dinizia excelsa Ducke,-52.514444,-0.295278,81.15682220458984,61.0997200012207,32.04975128173828,25.59533309936523,2360,325,50,191,835,127,0.1204728296155387,325.67067128470677
Dinizia excelsa Ducke,-52.531389,-0.159444,80.857635498046875,61.97165298461914,32.02349853515625,25.51995849609375,2380,327,51,195,843,146,0.07775885117610974,207.1757134053429
Dinizia excelsa Ducke,-52.37,1.191389,79.50750732421875,65.26290130615234,32.16725158691406,25.487415313720703,2393,321,63,208,827,156,0.02393276659514008,124.63424643318082
Dinizia excelsa Ducke,-52.833056,-0.456389,81.09661102294922,60.82156753540039,31.657249450683594,25.262083053588867,2337,332,50,185,816,189,0.2268087150176968,41.06963791167617
Dinizia excelsa Ducke,-62.916111,-9.262778,71.54638671875,47.678924560546875,32.56224822998047,25.317459106445313,2391,385,12,533,168,121,0.03662677743937258,321.7362422076569
Dinizia excelsa Ducke,-62,-9.116111,70.60895538330078,42.366600036621094,33.24174880981445,25.28183364868164,2281,339,19,349,171,123,0.04159930827374269,358.38462895679635
Dinizia excelsa Ducke,-63.94,-8.854167,72.32283020019531,47.810035705566406,33.25600051879883,25.843542098999023,2185,337,25,500,177,99,0.02921220396389486,3.8345181091481058
Dinizia excelsa Ducke,-52.380833,-1.599167,82.98522186279297,56.00164794921875,32.52799987792969,26.17366600036621,2032,320,42,158,711,4,0.02725332045087272,153.94345300045197
