especie,especie_padrao,lon,lat,bio4_sazonalidade_temperatura,bio5_temp_max_mes_quente,bio12_precipitacao_anual,bio14_precipitacao_mes_seco,bio18_precipitacao_trimestre_quente,elevacao,declividade,pa,tipo
Dinizia excelsa Ducke,Dinizia excelsa,-59.162667,-8.999722,36.823421478271484,33.88275146484375,1992,8,264,183,0.1103033795952797,1,Presenca
Dinizia excelsa Ducke,Dinizia excelsa,-59.968854,-2.933488,49.023834228515625,31.92599868774414,2319,71,391,78,0.08839131891727448,1,Presenca
Dinizia excelsa Ducke,Dinizia excelsa,-51.910556,1.106389,69.02900695800781,32.0212516784668,2392,59,197,175,0.026064278557896614,1,Presenca
Dinizia excelsa Ducke,Dinizia excelsa,-46.799722,-3.6225,42.42207336425781,31.697999954223633,1722,33,257,148,0.12278024852275848,1,Presenca
Dinizia excelsa Ducke,Dinizia excelsa,-63.021667,-9.216389,48.35960006713867,32.83625030517578,2328,10,513,116,0.03334523364901543,1,Presenca
Dinizia excelsa Ducke,Dinizia excelsa,-51.834167,-1.799167,51.51371765136719,32.249000549316406,2287,50,191,40,0.04690376669168472,1,Presenca
Dinizia excelsa Ducke,Dinizia excelsa,-52.514444,-0.295278,61.0997200012207,32.04975128173828,2360,50,191,127,0.12047282606363297,1,Presenca
Dinizia excelsa Ducke,Dinizia excelsa,-52.531389,-0.159444,61.97165298461914,32.02349853515625,2380,51,195,146,0.07775884866714478,1,Presenca
Dinizia excelsa Ducke,Dinizia excelsa,-52.37,1.191389,65.26290130615234,32.16725158691406,2393,63,208,156,0.023932766169309616,1,Presenca
Dinizia excelsa Ducke,Dinizia excelsa,-52.833056,-0.456389,60.82156753540039,31.657249450683594,2337,50,185,189,0.22680871188640594,1,Presenca
Dinizia excelsa Ducke,Dinizia excelsa,-62.916111,-9.262778,47.678924560546875,32.56224822998047,2391,12,533,121,0.03662677854299545,1,Presenca
Dinizia excelsa Ducke,Dinizia excelsa,-62,-9.116111,42.28963088989258,33.14799880981445,2307,19,563,128,0.06633361428976059,1,Presenca
Dinizia excelsa Ducke,Dinizia excelsa,-63.94,-8.854167,47.810035705566406,33.25600051879883,2185,25,500,99,0.02921220473945141,1,Presenca
Dinizia excelsa Ducke,Dinizia excelsa,-52.380833,-1.599167,56.00164794921875,32.52799987792969,2032,42,158,4,0.027253320440649986,1,Presenca
Dinizia excelsa Ducke,Dinizia excelsa,-52.946266,1.963061,59.14328384399414,31.990249633789063,2360,58,209,217,0.18706610798835754,1,Presenca
Dinizia excelsa Ducke,Dinizia excelsa,-61.649722,-9.591111,43.337486267089844,32.95075225830078,2157,17,260,152,0.01710447110235691,1,Presenca
Dinizia excelsa Ducke,Dinizia excelsa,-61.646944,-9.359167,42.09244918823242,32.93300247192383,2187,16,277,158,0.017673861235380173,1,Presenca
Dinizia excelsa Ducke,Dinizia excelsa,-64.348888,-9.244167,50.661773681640625,33.3385009765625,1996,25,472,95,0.03638410195708275,1,Presenca
Dinizia excelsa Ducke,Dinizia excelsa,-60.09,-2.3828,45.445594787597656,31.765499114990234,2404,98,427,99,0.053637146949768066,1,Presenca
Dinizia excelsa Ducke,Dinizia excelsa,-56.464167,-4.672222,54.63097381591797,32.77975082397461,2134,65,388,73,0.020310867577791214,1,Presenca
Dinizia excelsa Ducke,Dinizia excelsa,-51.972222,0.973889,68.9582290649414,32.010250091552734,2379,59,194,184,0.04986373707652092,1,Presenca
Dinizia excelsa Ducke,Dinizia excelsa,-64.048056,-9.081667,48.65624237060547,33.17274856567383,2112,24,488,112,0.043589036911726,1,Presenca
Dinizia excelsa Ducke,Dinizia excelsa,-64.736111,-9.444722,52.480735778808594,33.2234992980957,1857,24,446,113,0.021705150604248047,1,Presenca
Dinizia excelsa Ducke,Dinizia excelsa,-64.617222,-9.263055,50.56161117553711,33.247501373291016,1948,25,465,102,0.03808905929327011,1,Presenca
Dinizia excelsa Ducke,Dinizia excelsa,-48.798889,-2.180556,39.39651870727539,31.7237491607666,2437,64,216,29,0.027675768360495567,1,Presenca
Dinizia excelsa Ducke,Dinizia excelsa,-56.893889,-2.158056,66.43138122558594,32.89125061035156,2417,50,254,69,0.04539602994918823,1,Presenca
Dinizia excelsa Ducke,Dinizia excelsa,-60.658681,-3.154839,41.37446975708008,31.86349868774414,2236,51,363,42,0.03204062953591347,1,Presenca
Dinizia excelsa Ducke,Dinizia excelsa,-62.05,-1.01,31.432470321655273,31.506250381469727,2594,150,474,32,0.037884801626205444,1,Presenca
Dinizia excelsa Ducke,Dinizia excelsa,-48.330556,-3.34,40.19551467895508,31.6877498626709,2045,42,205,112,0.10940095037221909,1,Presenca
Dinizia excelsa Ducke,Dinizia excelsa,-48.483611,-3.285833,40.714012145996094,31.860750198364258,2125,46,209,74,0.046505045145750046,1,Presenca
Dinizia excelsa Ducke,Dinizia excelsa,-59.407778,-10.223611,49.40061950683594,33.872249603271484,1949,8,230,272,0.19311568140983582,1,Presenca
Dinizia excelsa Ducke,Dinizia excelsa,-59.860682,-2.442484,47.412681579589844,31.71125030517578,2393,98,421,117,0.006954549811780453,1,Presenca
Dinizia excelsa Ducke,Dinizia excelsa,-59.685556,-2.315278,48.05419158935547,31.919750213623047,2398,106,410,90,0.04828838258981705,1,Presenca
Dinizia excelsa Ducke,Dinizia excelsa,-60.063819,-3.553975,45.436492919921875,32.118499755859375,2184,60,369,28,0.02365141734480858,1,Presenca
Dinizia excelsa Ducke,Dinizia excelsa,-59.74583,-2.41625,48.940696716308594,31.828248977661133,2376,98,408,105,0.032258376479148865,1,Presenca
Dinizia excelsa Ducke,Dinizia excelsa,-63.216667,-9.1,48.023101806640625,33.02425003051758,2297,13,504,101,0.020734239369630814,1,Presenca
Dinizia excelsa Ducke,Dinizia excelsa,-51.616667,0.166667,68.5295181274414,32.748748779296875,2338,37,150,44,0.0906987264752388,1,Presenca
Dinizia excelsa Ducke,Dinizia excelsa,-51.62,-0.17,64.2341537475586,32.951751708984375,2383,46,194,12,0.04056879132986069,1,Presenca
Dinizia excelsa Ducke,Dinizia excelsa,-58.966667,-4.116667,50.833099365234375,32.54999923706055,2234,85,362,34,0.02000410668551922,1,Presenca
Dinizia excelsa Ducke,Dinizia excelsa,-63.11666,-9.16666,48.476871490478516,32.586997985839844,2351,13,510,113,0.024424979463219643,1,Presenca
Dinizia excelsa Ducke,Dinizia excelsa,-54.355206,-11.524631,64.53893280029297,34.56850051879883,1890,1,481,352,0.037831470370292664,1,Presenca
Dinizia excelsa Ducke,Dinizia excelsa,-65.18,-4.88,28.218034744262695,32.050750732421875,2442,89,500,90,0.009883420541882515,1,Presenca
Dinizia excelsa Ducke,Dinizia excelsa,-60.535278,-3.603056,39.335968017578125,32.06449890136719,2246,57,377,28,0.014995304867625237,1,Presenca
Dinizia excelsa Ducke,Dinizia excelsa,-56.126789,-9.839442,66.635986328125,36.36125183105469,2235,8,339,288,0.04045749828219414,1,Presenca
