lon,lat,bio3_isotermalidade,bio4_sazonalidade_temperatura,bio5_temp_max_mes_quente,bio8_temp_media_trimestre_umido,bio12_precipitacao_anual,bio13_precipitacao_mes_umido,bio14_precipitacao_mes_seco,bio18_precipitacao_trimestre_quente,bio19_precipitacao_trimestre_frio,elevacao,declividade,orientacao,pa,tipo,pa_factor
-59.162667,-8.999722,68.85316467285156,36.823421478271484,33.88275146484375,25.518625259399414,1992,314,8,264,118,183,0.1103033795952797,227.15773010253906,1,presenca,presenca
-46.799722,-3.6225,82.82655334472656,42.42207336425781,31.697999954223633,25.421916961669922,1722,349,33,257,855,148,0.12278024852275848,334.4329528808594,1,presenca,presenca
-52.514444,-0.295278,81.15682220458984,61.0997200012207,32.04975128173828,25.595333099365234,2360,325,50,191,835,127,0.12047282606363297,325.6706848144531,1,presenca,presenca
-62,-9.116111,70.60895538330078,42.366600036621094,33.24174880981445,25.28183364868164,2281,339,19,349,171,123,0.04159930720925331,358.3846435546875,1,presenca,presenca
-63.94,-8.854167,72.32283020019531,47.810035705566406,33.25600051879883,25.843542098999023,2185,337,25,500,177,99,0.02921220473945141,3.8345181941986084,1,presenca,presenca
-52.380833,-1.599167,82.98522186279297,56.00164794921875,32.52799987792969,26.17366600036621,2032,320,42,158,711,4,0.027253320440649986,153.94345092773438,1,presenca,presenca
-52.946266,1.963061,80.69622039794922,59.14328384399414,31.990249633789063,25.200624465942383,2360,343,58,209,767,217,0.18706610798835754,68.29743957519531,1,presenca,presenca
-51.972222,0.973889,78.49195861816406,68.9582290649414,32.010250091552734,25.351333618164063,2379,336,59,194,865,184,0.04986373707652092,198.04122924804688,1,presenca,presenca
-64.048056,-9.081667,72.86280059814453,48.65624237060547,33.17274856567383,25.8439998626709,2112,322,24,488,175,112,0.043589036911726,356.9156494140625,1,presenca,presenca
-59.860682,-2.442484,81.28404235839844,47.412681579589844,31.71125030517578,26.01241683959961,2393,319,98,421,792,117,0.006954549811780453,90,1,presenca,presenca
-59.685556,-2.315278,81.02991485595703,48.05419158935547,31.919750213623047,26.181625366210938,2398,324,106,410,789,90,0.04828838258981705,176.33045959472656,1,presenca,presenca
-60.535278,-3.603056,83.71955108642578,39.335968017578125,32.06449890136719,26.451915740966797,2246,298,57,377,866,28,0.014995304867625237,343.5174865722656,1,presenca,presenca
-57.846944,-9.122222,67.594818115234375,38.75631332397461,34.22875213623047,25.40945816040039,1959,316,7,271,888,247,0.1342708021402359,300.8168640136719,1,presenca,presenca
-51.658889,0.9675,77.76630401611328,70.84114837646484,32.27674865722656,25.65216636657715,2319,337,42,151,882,119,0.07452215254306793,108.54851531982422,1,presenca,presenca
-56.306111,-1.655278,79.0546646118164,64.2703628540039,32.88574981689453,26.35212516784668,2413,395,72,293,950,66,0.05622844770550728,77.222320556640625,1,presenca,presenca
-61.595136,-7.948514,72.08264923095703,37.34532165527344,33.41350173950195,25.65858268737793,2446,370,22,364,215,112,0.0393097959458828,303.6161804199219,1,presenca,presenca
-63.591667,-8.581667,72.02839660644531,44.630950927734375,32.94049835205078,25.742584228515625,2232,345,18,493,175,71,0.022274553775787354,335.1272277832031,1,presenca,presenca
-60.285058,-2.439172,82.43030548095703,43.416080474853516,31.79800033569336,26.19270896911621,2389,319,93,424,795,77,0.052116233855485916,227.8465576171875,1,presenca,presenca
-51.972222,-0.973889,82.09739685058594,56.55431365966797,32.614749908447266,26.063791275024414,2500,361,52,227,846,18,0.05189947038888931,104.74944305419922,1,presenca,presenca
-64.736111,-9.744722,74.5223388671875,55.49674987792969,33.11600112915039,26.146041870117188,1807,270,23,428,165,147,0.054620351642370224,315.35711669921875,1,presenca,presenca
-64.95,-9.646944,74.60795593261719,54.94429016113281,33.16025161743164,26.267749786376953,1779,262,22,426,163,123,0.003710945602506399,71.689208984375,1,presenca,presenca
-48.798889,-2.797222,87.70086669921875,40.61542892456055,31.789499282836914,25.851417541503906,2312,417,52,211,1124,54,0.03660561144351959,328.137939453125,1,presenca,presenca
-51.986389,-2.301667,83.08879852294922,51.74192810058594,32.23149871826172,25.84145736694336,2174,342,47,163,878,51,0.03977831080555916,262.1386413574219,1,presenca,presenca
-49.16,-3.035278,87.34009552001953,43.505584716796875,32.1515007019043,25.97366714477539,2350,423,46,213,1142,55,0.02957688830792904,9.782803535461426,1,presenca,presenca
-63,-11,71.32849884033203,56.46332931518555,32.916500091552734,24.739999771118164,1729,284,10,257,117,283,0.06509267538785934,80.02960968017578,1,presenca,presenca
-53,-4,79.53461456298828,46.73554992675781,31.556499481201172,24.70716667175293,1722,309,36,183,811,179,0.03967161476612091,14.115424156188965,1,presenca,presenca
-52.63,0.57,80.29267120361328,64.842437744140625,30.774999618530273,24.183582305908203,2413,321,60,209,844,411,0.20217916369438171,95.84715270996094,1,presenca,presenca
-51.61687,-0.012935833,79.63191986083984,65.7543716430664,32.82099914550781,25.856250762939453,2372,337,42,176,905,25,0.06260613352060318,121.01200866699219,1,presenca,presenca
-52.45,0.9,79.90779113769531,65.03289794921875,32.054500579833984,25.42104148864746,2393,320,63,210,829,167,0.11728865653276443,35.403236389160156,1,presenca,presenca
-51.4,2.39,75.67882537841797,68.14057159423828,32.47774887084961,25.687957763671875,2691,388,51,193,938,97,0.11272205412387848,72.3386001586914,1,presenca,presenca
-51.18,3.43,72.20857238769531,62.414608001708984,33.23524856567383,26.0488338470459,2964,419,53,213,1065,7,0.03918694704771042,60.27358627319336,1,presenca,presenca
-51.53,2.03,76.58323669433594,69.57140350341797,32.013248443603516,25.262248992919922,2574,362,52,192,921,189,0.10740996152162552,88.7560806274414,1,presenca,presenca
-52.22,0.81,79.82855987548828,65.7359619140625,31.930500030517578,25.334583282470703,2395,324,61,207,844,181,0.09753039479255676,67.26246643066406,1,presenca,presenca
-51.93,2.93,75.55289459228516,59.46723556518555,32.35200119018555,25.339750289916992,2775,414,59,253,934,148,0.0854775458574295,68.67115783691406,1,presenca,presenca
-52.95556944,1.018297222,80.78667449951172,63.070194244384766,31.513750076293945,24.8439998626709,2367,326,61,212,794,289,0.08493702858686447,43.704017639160156,1,presenca,presenca
-52.08,0.9,78.99652862548828,67.31892395019531,32.19874954223633,25.532291412353516,2404,331,65,210,851,147,0.013106250204145908,168.10028076171875,1,presenca,presenca
-53.225626,0.77088,81.27461242675781,60.67563247680664,31.760250091552734,25.143333435058594,2324,329,60,212,785,242,0.15044109523296356,95.33599853515625,1,presenca,presenca
-60.17,-2.63,82.4005355834961,43.955692291259766,31.808250427246094,26.222749710083008,2355,313,82,409,821,69,0.04382116720080376,240.80638122558594,1,presenca,presenca
-66.08333333333333,-9.08333333333333,75.6731185913086,57.40327072143555,32.47325134277344,25.999332427978516,1890,262,20,477,142,161,0.06939119100570679,4.523289203643799,0,background,background
-63.75,0.4166666666666696,89.34226989746094,39.52768325805664,32.32550048828125,26.207332611083984,2571,369,125,471,859,52,0.021526914089918137,154.5082244873047,0,background,background
-65.75,-4.416666666666664,83.769866943359375,28.91927146911621,32.00825119018555,26.393583297729492,2490,323,97,508,444,87,0.018415559083223343,112.32467651367188,0,background,background
-72.91666666666667,-7.416666666666664,78.97645568847656,52.99996566772461,31.10300064086914,25.455833435058594,2248,290,66,671,231,205,0.023694470524787903,75.75775909423828,0,background,background
-63.75,-11.083333333333329,73.3973388671875,57.89848709106445,32.23524856567383,24.92829132080078,1742,276,15,411,131,353,0.48081886768341064,209.39248657226563,0,background,background
-53.25,2.0833333333333357,80.95686340332031,57.49457550048828,31.616750717163086,24.80324935913086,2342,346,55,208,749,308,0.06326447427272797,54.29793930053711,0,background,background
-57.91666666666667,-10.916666666666664,69.0828857421875,55.87539291381836,33.861751556396484,25.330041885375977,1986,334,2,458,64,259,0.0325346440076828,70.46041107177734,0,background,background
-67.91666666666667,-6.916666666666664,80.31697082519531,47.91096878051758,31.742250442504883,25.71037483215332,2352,331,50,520,182,140,0.019437910988926888,53.144920349121094,0,background,background
-51.083333333333336,-7.2499999999999964,74.29325103759766,31.073673248291016,33.39274978637695,24.610166549682617,1952,288,13,341,775,289,0.12551620602607727,218.99993896484375,0,background,background
-71.08333333333333,-6.2499999999999964,81.54595184326172,44.01832580566406,31.07775115966797,25.60279083251953,2540,295,88,753,314,180,0.013572324998676777,336.3873596191406,0,background,background
-67.41666666666667,-1.2499999999999973,86.48872375488281,40.427581787109375,31.32874870300293,25.688417434692383,3022,328,196,675,757,86,0.004264994524419308,84.77198791503906,0,background,background
-56.91666666666667,-12.916666666666664,74.67610931396484,88.1392593383789,31.928998947143555,24.782791137695313,2094,354,3,850,37,343,0.09370896220207214,81.413818359375,0,background,background
