lon,lat,bio3_isotermalidade,bio4_sazonalidade_temperatura,bio5_temp_max_mes_quente,bio8_temp_media_trimestre_umido,bio12_precipitacao_anual,bio13_precipitacao_mes_umido,bio14_precipitacao_mes_seco,bio18_precipitacao_trimestre_quente,bio19_precipitacao_trimestre_frio,elevacao,declividade,orientacao,pa,tipo,pa_factor
-59.968854,-2.933488,80.94942474365234,49.023834228515625,31.92599868774414,26.09166717529297,2319,304,71,391,857,78,0.08839131891727448,191.3485565185547,1,presenca,presenca
-51.910556,1.106389,78.3746566772461,69.02900695800781,32.0212516784668,25.386375427246094,2392,336,59,197,864,175,0.026064278557896614,349.7608947753906,1,presenca,presenca
-63.021667,-9.216389,71.39488220214844,48.35960006713867,32.83625030517578,25.430208206176758,2328,383,10,513,168,116,0.03334523364901543,322.42071533203125,1,presenca,presenca
-51.834167,-1.799167,83.217926025390625,51.51371765136719,32.249000549316406,25.851499557495117,2287,350,50,191,834,40,0.04690376669168472,325.9507141113281,1,presenca,presenca
-52.531389,-0.159444,80.857635498046875,61.97165298461914,32.02349853515625,25.51995849609375,2380,327,51,195,843,146,0.07775884866714478,207.17572021484375,1,presenca,presenca
-52.37,1.191389,79.50750732421875,65.26290130615234,32.16725158691406,25.487415313720703,2393,321,63,208,827,156,0.023932766169309616,124.63424682617188,1,presenca,presenca
-52.833056,-0.456389,81.09661102294922,60.82156753540039,31.657249450683594,25.262083053588867,2337,332,50,185,816,189,0.22680871188640594,41.069637298583984,1,presenca,presenca
-62.916111,-9.262778,71.54638671875,47.678924560546875,32.56224822998047,25.317459106445313,2391,385,12,533,168,121,0.03662677854299545,321.7362365722656,1,presenca,presenca
-61.649722,-9.591111,70.72169494628906,43.337486267089844,32.95075225830078,25.034332275390625,2157,338,17,260,129,152,0.01710447110235691,316.6404724121094,1,presenca,presenca
-61.646944,-9.359167,70.78880310058594,42.09244918823242,32.93300247192383,25.037416458129883,2187,334,16,277,135,158,0.017673861235380173,318.38409423828125,1,presenca,presenca
