modelo,AUC,especificidade,sensibilidade,fpr,n,presencas,background,rotulo
BRT,0.8382445635045698,1,0,0,372,38,334,BRT (AUC = 0.838)
BRT,0.8382445635045698,1,0.02631578947368421,0,372,38,334,BRT (AUC = 0.838)
BRT,0.8382445635045698,0.9970059880239521,0.02631578947368421,0.0029940119760478723,372,38,334,BRT (AUC = 0.838)
BRT,0.8382445635045698,0.9970059880239521,0.05263157894736842,0.0029940119760478723,372,38,334,BRT (AUC = 0.838)
BRT,0.8382445635045698,0.9970059880239521,0.07894736842105263,0.0029940119760478723,372,38,334,BRT (AUC = 0.838)
BRT,0.8382445635045698,0.9970059880239521,0.10526315789473684,0.0029940119760478723,372,38,334,BRT (AUC = 0.838)
BRT,0.8382445635045698,0.9970059880239521,0.13157894736842105,0.0029940119760478723,372,38,334,BRT (AUC = 0.838)
BRT,0.8382445635045698,0.9970059880239521,0.15789473684210525,0.0029940119760478723,372,38,334,BRT (AUC = 0.838)
BRT,0.8382445635045698,0.9970059880239521,0.18421052631578946,0.0029940119760478723,372,38,334,BRT (AUC = 0.838)
BRT,0.8382445635045698,0.9970059880239521,0.21052631578947367,0.0029940119760478723,372,38,334,BRT (AUC = 0.838)
BRT,0.8382445635045698,0.9970059880239521,0.23684210526315788,0.0029940119760478723,372,38,334,BRT (AUC = 0.838)
BRT,0.8382445635045698,0.9940119760479041,0.23684210526315788,0.005988023952095856,372,38,334,BRT (AUC = 0.838)
BRT,0.8382445635045698,0.9910179640718563,0.23684210526315788,0.008982035928143728,372,38,334,BRT (AUC = 0.838)
BRT,0.8382445635045698,0.9880239520958084,0.23684210526315788,0.0119760479041916,372,38,334,BRT (AUC = 0.838)
BRT,0.8382445635045698,0.9880239520958084,0.2631578947368421,0.0119760479041916,372,38,334,BRT (AUC = 0.838)
BRT,0.8382445635045698,0.9880239520958084,0.2894736842105263,0.0119760479041916,372,38,334,BRT (AUC = 0.838)
BRT,0.8382445635045698,0.9880239520958084,0.3157894736842105,0.0119760479041916,372,38,334,BRT (AUC = 0.838)
BRT,0.8382445635045698,0.9850299401197605,0.3157894736842105,0.014970059880239472,372,38,334,BRT (AUC = 0.838)
BRT,0.8382445635045698,0.9820359281437125,0.3157894736842105,0.017964071856287456,372,38,334,BRT (AUC = 0.838)
BRT,0.8382445635045698,0.9820359281437125,0.34210526315789475,0.017964071856287456,372,38,334,BRT (AUC = 0.838)
BRT,0.8382445635045698,0.9790419161676647,0.34210526315789475,0.020958083832335328,372,38,334,BRT (AUC = 0.838)
BRT,0.8382445635045698,0.9760479041916168,0.34210526315789475,0.0239520958083832,372,38,334,BRT (AUC = 0.838)
BRT,0.8382445635045698,0.9760479041916168,0.3684210526315789,0.0239520958083832,372,38,334,BRT (AUC = 0.838)
BRT,0.8382445635045698,0.9730538922155688,0.3684210526315789,0.026946107784431184,372,38,334,BRT (AUC = 0.838)
BRT,0.8382445635045698,0.9700598802395209,0.3684210526315789,0.029940119760479056,372,38,334,BRT (AUC = 0.838)
BRT,0.8382445635045698,0.9700598802395209,0.39473684210526316,0.029940119760479056,372,38,334,BRT (AUC = 0.838)
BRT,0.8382445635045698,0.9670658682634731,0.39473684210526316,0.03293413173652693,372,38,334,BRT (AUC = 0.838)
BRT,0.8382445635045698,0.9640718562874252,0.39473684210526316,0.0359281437125748,372,38,334,BRT (AUC = 0.838)
BRT,0.8382445635045698,0.9610778443113772,0.39473684210526316,0.038922155688622784,372,38,334,BRT (AUC = 0.838)
BRT,0.8382445635045698,0.9580838323353293,0.39473684210526316,0.041916167664670656,372,38,334,BRT (AUC = 0.838)
BRT,0.8382445635045698,0.9550898203592815,0.39473684210526316,0.04491017964071853,372,38,334,BRT (AUC = 0.838)
BRT,0.8382445635045698,0.9550898203592815,0.42105263157894735,0.04491017964071853,372,38,334,BRT (AUC = 0.838)
BRT,0.8382445635045698,0.9520958083832335,0.42105263157894735,0.04790419161676651,372,38,334,BRT (AUC = 0.838)
BRT,0.8382445635045698,0.9491017964071856,0.42105263157894735,0.050898203592814384,372,38,334,BRT (AUC = 0.838)
BRT,0.8382445635045698,0.9491017964071856,0.4473684210526316,0.050898203592814384,372,38,334,BRT (AUC = 0.838)
BRT,0.8382445635045698,0.9491017964071856,0.47368421052631576,0.050898203592814384,372,38,334,BRT (AUC = 0.838)
BRT,0.8382445635045698,0.9461077844311377,0.47368421052631576,0.053892215568862256,372,38,334,BRT (AUC = 0.838)
