lon,lat,pa,tipo,pred,modelo,n_modelos
-59.162667,-8.999722,1,presenca,0.06327908187183122,GLM,1
-46.799722,-3.6225,1,presenca,0.03965762531123504,GLM,1
-52.514444,-0.295278,1,presenca,0.6546634850743028,GLM,1
-62,-9.116111,1,presenca,0.3537251192294385,GLM,1
-63.94,-8.854167,1,presenca,0.11757187648997323,GLM,1
-52.380833,-1.599167,1,presenca,0.19509179532577975,GLM,1
-52.946266,1.963061,1,presenca,0.393065920186111,GLM,1
-51.972222,0.973889,1,presenca,0.3576006999896077,GLM,1
-64.048056,-9.081667,1,presenca,0.1660827266673819,GLM,1
-59.860682,-2.442484,1,presenca,0.1303639432021017,GLM,1
-59.685556,-2.315278,1,presenca,0.15028974043206653,GLM,1
-60.535278,-3.603056,1,presenca,0.19489205691809425,GLM,1
-57.846944,-9.122222,1,presenca,0.01760343490390064,GLM,1
-51.658889,0.9675,1,presenca,0.38425097811192555,GLM,1
-56.306111,-1.655278,1,presenca,0.29232502106741853,GLM,1
-61.595136,-7.948514,1,presenca,0.2848271749910085,GLM,1
-63.591667,-8.581667,1,presenca,0.22338992191641557,GLM,1
-60.285058,-2.439172,1,presenca,0.21750587071315391,GLM,1
-51.972222,-0.973889,1,presenca,0.5731380413446368,GLM,1
-64.736111,-9.744722,1,presenca,0.10545001090704556,GLM,1
-64.95,-9.646944,1,presenca,0.05876293704595552,GLM,1
-48.798889,-2.797222,1,presenca,0.20482519154474185,GLM,1
-51.986389,-2.301667,1,presenca,0.2034321385230289,GLM,1
-49.16,-3.035278,1,presenca,0.13086001505427475,GLM,1
-63,-11,1,presenca,0.01167319023422571,GLM,1
-53,-4,1,presenca,0.01027846756732089,GLM,1
-52.63,0.57,1,presenca,0.05138766134938592,GLM,1
-51.61687,-0.012935833,1,presenca,0.4289600346452488,GLM,1
-52.45,0.9,1,presenca,0.48106480167180576,GLM,1
-51.4,2.39,1,presenca,0.6635533010153383,GLM,1
-51.18,3.43,1,presenca,0.4713362735985333,GLM,1
-51.53,2.03,1,presenca,0.5025582223671892,GLM,1
-52.22,0.81,1,presenca,0.4631556116475736,GLM,1
-51.93,2.93,1,presenca,0.554443466806361,GLM,1
-52.95556944,1.018297222,1,presenca,0.1675656908078819,GLM,1
-52.08,0.9,1,presenca,0.35479396539146835,GLM,1
-53.225626,0.77088,1,presenca,0.3395896549284846,GLM,1
-60.17,-2.63,1,presenca,0.28046576397761747,GLM,1
-66.08333333333333,-9.08333333333333,0,background,0.12620009407666227,GLM,1
-63.75,0.4166666666666696,0,background,0.0740540604726033,GLM,1
-65.75,-4.416666666666664,0,background,0.02320615561835465,GLM,1
-72.91666666666667,-7.416666666666664,0,background,0.02958570787137645,GLM,1
-63.75,-11.083333333333329,0,background,0.00722787566553154,GLM,1
-53.25,2.0833333333333357,0,background,0.07107797574459213,GLM,1
-57.91666666666667,-10.916666666666664,0,background,0.03546414173620636,GLM,1
-67.91666666666667,-6.916666666666664,0,background,0.2602636215137703,GLM,1
-51.083333333333336,-7.2499999999999964,0,background,0.00145735520817782,GLM,1
-71.08333333333333,-6.2499999999999964,0,background,0.00460667736754375,GLM,1
-67.41666666666667,-1.2499999999999971,0,background,9.593912195840069e-5,GLM,1
-56.91666666666667,-12.916666666666664,0,background,1.1454548705004795e-5,GLM,1
-50.583333333333336,0.25000000000000266,0,background,0.10031522793382992,GLM,1
-55.75,1.9166666666666692,0,background,0.00281689129256879,GLM,1
-60.583333333333336,1.9166666666666692,0,background,0.06066640895739171,GLM,1
-61.75,-1.7499999999999971,0,background,0.02323853977411611,GLM,1
-63.583333333333336,-1.0833333333333304,0,background,0.02169413306071469,GLM,1
-60.583333333333336,3.5833333333333357,0,background,0.07166106981841795,GLM,1
-67.08333333333333,-0.7499999999999973,0,background,0.00286410924715277,GLM,1
-67.41666666666667,-2.4166666666666643,0,background,6.134811675960189e-5,GLM,1
-52.083333333333336,-9.58333333333333,0,background,0.0051740456968502,GLM,1
-67.75,-7.916666666666664,0,background,0.40681570438458586,GLM,1
-56.75,-3.2499999999999964,0,background,0.282257769789059,GLM,1
-51.41666666666667,4.083333333333336,0,background,0.4349188714956954,GLM,1
-51.083333333333336,-7.08333333333333,0,background,4.05073561059935e-4,GLM,1
-68.25,-2.9166666666666643,0,background,2.9318798125034314e-5,GLM,1
-52.91666666666667,-1.5833333333333304,0,background,0.14439637756710463,GLM,1
-45.91666666666667,-1.2499999999999971,0,background,0.00899770988955442,GLM,1
-61.25,2.7500000000000027,0,background,0.09174989054943616,GLM,1
-66.08333333333333,-8.08333333333333,0,background,0.1398805528442036,GLM,1
-53.25,-6.2499999999999964,0,background,5.052479696876301e-4,GLM,1
-65.08333333333333,-7.416666666666664,0,background,0.03224921041520417,GLM,1
-61.75,-9.08333333333333,0,background,0.300172658040301,GLM,1
-64.91666666666667,-2.7499999999999964,0,background,3.9251469706445224e-6,GLM,1
-52.91666666666667,-3.916666666666664,0,background,0.01619140114295498,GLM,1
-55.75,-0.08333333333333037,0,background,0.04098229207296171,GLM,1
-67.91666666666667,-2.0833333333333304,0,background,2.5126294702819153e-6,GLM,1
-65.75,-8.249999999999996,0,background,0.10690695523320112,GLM,1
-52.083333333333336,-4.2499999999999964,0,background,0.05538439999464612,GLM,1
-61.583333333333336,3.5833333333333357,0,background,0.32811456656626076,GLM,1
-67.41666666666667,-3.2499999999999964,0,background,0.00166176163008576,GLM,1
-59.583333333333336,-8.416666666666664,0,background,0.07295658281072719,GLM,1
-51.25,-8.416666666666664,0,background,0.00121417207570719,GLM,1
-54.75,-7.416666666666664,0,background,0.00905865896350311,GLM,1
-61.75,-10.58333333333333,0,background,0.27845034859055146,GLM,1
-70.58333333333333,-6.08333333333333,0,background,0.08973086789815629,GLM,1
-72.08333333333333,-6.2499999999999964,0,background,0.00652642027830667,GLM,1
-55.583333333333336,-4.7499999999999964,0,background,0.03766127334969079,GLM,1
-60.75,-5.916666666666664,0,background,0.00502626760294959,GLM,1
-48.41666666666667,-2.9166666666666643,0,background,0.16570847205743244,GLM,1
-60.083333333333336,-12.083333333333329,0,background,0.00190127687989009,GLM,1
-61.75,-7.2499999999999964,0,background,0.05467700320599367,GLM,1
-51.583333333333336,-6.08333333333333,0,background,0.00116860786813062,GLM,1
-58.083333333333336,-2.0833333333333304,0,background,0.30085613145346585,GLM,1
-54.083333333333336,-1.4166666666666643,0,background,0.06893095559228013,GLM,1
-69.41666666666667,-4.7499999999999964,0,background,0.05903232458419848,GLM,1
-45.75,-2.2499999999999973,0,background,0.0944115891434328,GLM,1
-67.08333333333333,-9.58333333333333,0,background,0.3082988769257176,GLM,1
-61.583333333333336,-11.583333333333329,0,background,0.14099559744682577,GLM,1
-54.75,-7.7499999999999964,0,background,0.017034317165663,GLM,1
-62.25,-5.58333333333333,0,background,0.00837607955925524,GLM,1
-68.41666666666667,-2.2499999999999973,0,background,1.535220364024187e-7,GLM,1
-67.75,-7.2499999999999964,0,background,0.315054120354951,GLM,1
-54.41666666666667,-8.249999999999996,0,background,0.00906338703665129,GLM,1
-47.41666666666667,-2.2499999999999973,0,background,0.09870881028085036,GLM,1
-69.75,-6.2499999999999964,0,background,0.0856892680432629,GLM,1
-57.91666666666667,-2.2499999999999973,0,background,0.3060175255085186,GLM,1
-60.25,-9.08333333333333,0,background,0.141275534759274,GLM,1
-65.25,-10.416666666666664,0,background,0.08157196172432932,GLM,1
-62.083333333333336,-11.749999999999996,0,background,0.05449081865930022,GLM,1
-58.91666666666667,-10.749999999999996,0,background,0.00595931329015912,GLM,1
-67.58333333333333,-7.416666666666664,0,background,0.3358315781751788,GLM,1
-62.083333333333336,-12.416666666666664,0,background,0.14960574768060284,GLM,1
-63.583333333333336,0.25000000000000266,0,background,0.068497981280748,GLM,1
-57.75,-5.08333333333333,0,background,0.1018342927216439,GLM,1
-50.083333333333336,-0.5833333333333304,0,background,0.27128196130829463,GLM,1
-54.25,-0.7499999999999973,0,background,0.1354550927299273,GLM,1
-60.91666666666667,-8.249999999999996,0,background,0.21881378693118775,GLM,1
-60.75,-4.416666666666664,0,background,0.05278802741324172,GLM,1
-63.41666666666667,-4.916666666666664,0,background,0.00180412446371802,GLM,1
-53.583333333333336,-3.749999999999997,0,background,0.02253600283160829,GLM,1
-68.08333333333333,0.4166666666666696,0,background,9.230312412786477e-8,GLM,1
-50.583333333333336,-9.416666666666664,0,background,0.02102847850376221,GLM,1
-60.91666666666667,-10.249999999999996,0,background,0.12468220438310602,GLM,1
-60.75,-1.2499999999999971,0,background,0.03161544529491546,GLM,1
-66.91666666666667,0.9166666666666696,0,background,1.032480271353326e-5,GLM,1
-65.75,0.25000000000000266,0,background,0.01220360618194382,GLM,1
-71.91666666666667,-9.749999999999996,0,background,0.00527185059145334,GLM,1
-67.75,-2.7499999999999964,0,background,0.00162973746986041,GLM,1
-70.08333333333333,-6.916666666666664,0,background,0.19164140618975004,GLM,1
-51.91666666666667,-7.08333333333333,0,background,8.530100716150985e-4,GLM,1
-54.41666666666667,-1.0833333333333304,0,background,0.12802810685374022,GLM,1
-49.083333333333336,-4.916666666666664,0,background,0.01677646507168492,GLM,1
-62.75,-3.4166666666666643,0,background,0.0242434333872831,GLM,1
-60.083333333333336,1.0833333333333357,0,background,0.02944598651184585,GLM,1
-67.58333333333333,1.5833333333333357,0,background,3.870730877779499e-6,GLM,1
-58.083333333333336,-11.083333333333329,0,background,0.0207914262599373,GLM,1
-55.91666666666667,-4.08333333333333,0,background,0.2619371398901403,GLM,1
-56.583333333333336,-4.416666666666664,0,background,0.13923006773208063,GLM,1
-60.083333333333336,-12.916666666666664,0,background,5.235534024036828e-5,GLM,1
-52.75,-6.2499999999999964,0,background,0.00102028955426337,GLM,1
-62.25,-2.0833333333333304,0,background,0.00691952675181437,GLM,1
-54.91666666666667,-2.4166666666666643,0,background,0.2036663436090235,GLM,1
-57.583333333333336,-14.749999999999996,0,background,1.1545701040563643e-5,GLM,1
-63.25,-3.749999999999997,0,background,0.02823157525270212,GLM,1
-59.75,-4.416666666666664,0,background,0.10461394780705494,GLM,1
-61.583333333333336,-7.916666666666664,0,background,0.2848271749910085,GLM,1
-51.41666666666667,-0.7499999999999973,0,background,0.462931633740258,GLM,1
-62.583333333333336,2.916666666666669,0,background,0.04611098997662882,GLM,1
-68.58333333333333,-1.5833333333333304,0,background,3.675041126429271e-7,GLM,1
-56.91666666666667,-0.24999999999999736,0,background,0.14565561885039163,GLM,1
-53.75,-7.08333333333333,0,background,0.00286966377615451,GLM,1
-61.583333333333336,-10.916666666666664,0,background,0.08709126732404854,GLM,1
-53.41666666666667,1.4166666666666692,0,background,0.11286165949516638,GLM,1
-52.583333333333336,-10.416666666666664,0,background,0.00320241738515443,GLM,1
-54.25,-12.583333333333329,0,background,6.650394382685109e-5,GLM,1
-51.583333333333336,3.0833333333333357,0,background,0.6264461769422447,GLM,1
-48.75,-0.9166666666666644,0,background,0.06035509229821721,GLM,1
-66.25,-7.916666666666664,0,background,0.16815077465467113,GLM,1
