lon,lat,classe,periodo,periodo_legenda,ordem,classe_nome
-60.41666666666667,5.083333333333336,0,lig,Último Interglacial,1,Inadequado em ambos
-60.25,5.083333333333336,0,lig,Último Interglacial,1,Inadequado em ambos
-60.41666666666667,4.916666666666669,0,lig,Último Interglacial,1,Inadequado em ambos
-60.25,4.916666666666669,0,lig,Último Interglacial,1,Inadequado em ambos
-60.583333333333336,4.750000000000003,0,lig,Último Interglacial,1,Inadequado em ambos
-60.41666666666667,4.750000000000003,0,lig,Último Interglacial,1,Inadequado em ambos
-60.25,4.750000000000003,0,lig,Último Interglacial,1,Inadequado em ambos
-60.75,4.583333333333336,0,lig,Último Interglacial,1,Inadequado em ambos
-60.583333333333336,4.583333333333336,0,lig,Último Interglacial,1,Inadequado em ambos
-60.41666666666667,4.583333333333336,0,lig,Último Interglacial,1,Inadequado em ambos
-60.25,4.583333333333336,0,lig,Último Interglacial,1,Inadequado em ambos
-61.083333333333336,4.416666666666669,0,lig,Último Interglacial,1,Inadequado em ambos
-60.91666666666667,4.416666666666669,0,lig,Último Interglacial,1,Inadequado em ambos
-60.75,4.416666666666669,0,lig,Último Interglacial,1,Inadequado em ambos
-60.583333333333336,4.416666666666669,0,lig,Último Interglacial,1,Inadequado em ambos
-60.41666666666667,4.416666666666669,0,lig,Último Interglacial,1,Inadequado em ambos
-60.25,4.416666666666669,0,lig,Último Interglacial,1,Inadequado em ambos
-60.083333333333336,4.416666666666669,0,lig,Último Interglacial,1,Inadequado em ambos
-61.41666666666667,4.250000000000003,0,lig,Último Interglacial,1,Inadequado em ambos
-61.25,4.250000000000003,0,lig,Último Interglacial,1,Inadequado em ambos
-61.083333333333336,4.250000000000003,0,lig,Último Interglacial,1,Inadequado em ambos
-60.91666666666667,4.250000000000003,0,lig,Último Interglacial,1,Inadequado em ambos
-60.75,4.250000000000003,0,lig,Último Interglacial,1,Inadequado em ambos
-60.583333333333336,4.250000000000003,0,lig,Último Interglacial,1,Inadequado em ambos
-60.41666666666667,4.250000000000003,0,lig,Último Interglacial,1,Inadequado em ambos
-60.25,4.250000000000003,0,lig,Último Interglacial,1,Inadequado em ambos
-60.083333333333336,4.250000000000003,0,lig,Último Interglacial,1,Inadequado em ambos
-59.91666666666667,4.250000000000003,0,lig,Último Interglacial,1,Inadequado em ambos
-61.75,4.083333333333336,0,lig,Último Interglacial,1,Inadequado em ambos
-61.583333333333336,4.083333333333336,1,lig,Último Interglacial,1,Adequado apenas atual
-61.41666666666667,4.083333333333336,3,lig,Último Interglacial,1,Estável adequado
-61.25,4.083333333333336,3,lig,Último Interglacial,1,Estável adequado
-61.083333333333336,4.083333333333336,3,lig,Último Interglacial,1,Estável adequado
-60.91666666666667,4.083333333333336,3,lig,Último Interglacial,1,Estável adequado
-60.75,4.083333333333336,3,lig,Último Interglacial,1,Estável adequado
-60.583333333333336,4.083333333333336,0,lig,Último Interglacial,1,Inadequado em ambos
-60.41666666666667,4.083333333333336,1,lig,Último Interglacial,1,Adequado apenas atual
-60.25,4.083333333333336,0,lig,Último Interglacial,1,Inadequado em ambos
-60.083333333333336,4.083333333333336,0,lig,Último Interglacial,1,Inadequado em ambos
-59.91666666666667,4.083333333333336,0,lig,Último Interglacial,1,Inadequado em ambos
-51.41666666666667,4.083333333333336,3,lig,Último Interglacial,1,Estável adequado
-64.25,3.916666666666669,0,lig,Último Interglacial,1,Inadequado em ambos
-62.583333333333336,3.916666666666669,0,lig,Último Interglacial,1,Inadequado em ambos
-62.41666666666667,3.916666666666669,0,lig,Último Interglacial,1,Inadequado em ambos
-62.25,3.916666666666669,0,lig,Último Interglacial,1,Inadequado em ambos
