Variables,VIF
bio12_precipitacao_anual,8.48842370646291
bio14_precipitacao_mes_seco,7.966036193743082
bio3_isotermalidade,7.661768366889579
elevacao,4.479149520014173
bio8_temp_media_trimestre_umido,4.276270367816096
bio5_temp_max_mes_quente,4.211258474458378
bio18_precipitacao_trimestre_quente,3.5454095539499857
bio13_precipitacao_mes_umido,3.2986380554111947
bio19_precipitacao_trimestre_frio,2.2777041706771155
bio4_sazonalidade_temperatura,1.8969170445566599
declividade,1.470359051631524
orientacao,1.0395405967603557
