"","bio3_isotermalidade","bio4_sazonalidade_temperatura","bio5_temp_max_mes_quente","bio8_temp_media_trimestre_umido","bio12_precipitacao_anual","bio13_precipitacao_mes_umido","bio14_precipitacao_mes_seco","bio18_precipitacao_trimestre_quente","bio19_precipitacao_trimestre_frio","elevacao","declividade","orientacao"
"bio3_isotermalidade",1,-0.380383400430857,-0.74346601096959,0.34109635487077,0.546561053740126,0.186920857393824,0.779866531867961,0.221717510568354,0.344408334128272,-0.473214983906826,-0.0487517247896586,-0.0925583867800907
"bio4_sazonalidade_temperatura",-0.380383400430857,1,0.122112220807146,-0.118782327594941,-0.461287929588215,-0.14762645597962,-0.35928264244076,-0.0589909283974027,-0.307014432856369,0.299605739834861,0.168537088569533,0.00323447067728339
"bio5_temp_max_mes_quente",-0.74346601096959,0.122112220807146,1,0.0356259612635608,-0.402279409903522,-0.0209257720375811,-0.590254741774039,-0.324484963865652,-0.0533365304348988,0.17608968828809,-0.0192964443512872,0.0837210855081433
"bio8_temp_media_trimestre_umido",0.34109635487077,-0.118782327594941,0.0356259612635608,1,0.304958892038487,0.0383286476936316,0.358433392020129,0.161456652115819,0.123879936943253,-0.774857846569345,-0.34868463306516,0.0217097288290388
"bio12_precipitacao_anual",0.546561053740126,-0.461287929588215,-0.402279409903522,0.304958892038487,1,0.441241215384968,0.784537408835461,0.469082244804802,0.278938557660687,-0.380351393283108,-0.193470811366395,-0.0929789827582447
"bio13_precipitacao_mes_umido",0.186920857393824,-0.14762645597962,-0.0209257720375811,0.0383286476936316,0.441241215384968,1,0.0919662812244657,-0.288011617276179,0.482074159930553,-0.189551977512249,-0.0358886784989242,-0.0151836945017004
"bio14_precipitacao_mes_seco",0.779866531867961,-0.35928264244076,-0.590254741774039,0.358433392020129,0.784537408835461,0.0919662812244657,1,0.486845818753617,0.256128785974903,-0.374579431132623,-0.0874762173175935,-0.0767900557578032
"bio18_precipitacao_trimestre_quente",0.221717510568354,-0.0589909283974027,-0.324484963865652,0.161456652115819,0.469082244804802,-0.288011617276179,0.486845818753617,1,-0.436235339828614,-0.00380086752813816,-0.156890089380775,-0.0857573446655821
"bio19_precipitacao_trimestre_frio",0.344408334128272,-0.307014432856369,-0.0533365304348988,0.123879936943253,0.278938557660687,0.482074159930553,0.256128785974903,-0.436235339828614,1,-0.270185992906126,0.0693416460752788,0.0304035987329752
"elevacao",-0.473214983906826,0.299605739834861,0.17608968828809,-0.774857846569345,-0.380351393283108,-0.189551977512249,-0.374579431132623,-0.00380086752813816,-0.270185992906126,1,0.458704540761097,0.00317932108993375
"declividade",-0.0487517247896586,0.168537088569533,-0.0192964443512872,-0.34868463306516,-0.193470811366395,-0.0358886784989242,-0.0874762173175935,-0.156890089380775,0.0693416460752788,0.458704540761097,1,0.0229154275764287
"orientacao",-0.0925583867800907,0.00323447067728339,0.0837210855081433,0.0217097288290388,-0.0929789827582447,-0.0151836945017004,-0.0767900557578032,-0.0857573446655821,0.0304035987329752,0.00317932108993375,0.0229154275764287,1
