componente,proporcao,acumulada
PC1,0.3356956769321042,0.3356956769321042
PC2,0.16273508182074423,0.4984307587528485
PC3,0.13920876326900694,0.6376395220218554
PC4,0.08365654117286754,0.721296063194723
PC5,0.078910658159186145,0.800206721353909
PC6,0.06572781815855908,0.8659345395124681
PC7,0.05766271352495395,0.9235972530374221
PC8,0.034043646943062056,0.9576408999804842
PC9,0.015678132798648176,0.9733190327791323
PC10,0.01432888568489537,0.9876479184640277
PC11,0.008397694907655465,0.9960456133716832
PC12,0.003954386628316872,1
