Variables,VIF
bio12_precipitacao_anual,9.13638403438452
bio14_precipitacao_mes_seco,8.389866595089623
bio3_isotermalidade,7.678757249961924
elevacao,4.48513929976367
bio5_temp_max_mes_quente,4.21065966380797
bio8_temp_media_trimestre_umido,4.118291985081115
bio18_precipitacao_trimestre_quente,3.6106020753215997
bio13_precipitacao_mes_umido,3.3715564750842173
bio19_precipitacao_trimestre_frio,2.3318169143779106
bio4_sazonalidade_temperatura,1.9565293733589715
declividade,1.5226682998426178
orientacao,1.0411538808172474
