term,estimate,std.error,statistic,p.value,conf.low,conf.high,significancia,tipo,variavel
bio4_sazonalidade_temperatura_z,1.8250050506074773,0.37858300744728846,4.8206206161051215,1.4311229609402894e-6,1.111402301314164,2.6018994549395926,***,Linear,bio4_sazonalidade_temperatura
bio12_precipitacao_anual_z,1.603201634594453,0.3834350285889835,4.181155906632039,2.9003090499359644e-5,0.8703852975121501,2.378815493499598,***,Linear,bio12_precipitacao_anual
I(bio18_precipitacao_trimestre_quente_z^2),-1.0655408487526932,0.31545465718644355,-3.3777940013829792,7.306979655751002e-4,-1.7267748055293715,-0.48783785543434316,***,Quadrático,bio18_precipitacao_trimestre_quente
elevacao_z,-1.4160954547401832,0.4283901790669656,-3.305620726003666,9.476626912414217e-4,-2.2874254094669833,-0.6013512341725558,***,Linear,elevacao
bio19_precipitacao_trimestre_frio_z,-0.7545631448539971,0.2886801356597963,-2.6138381261647825,0.0089531443996134,-1.3421660347544961,-0.20458615415018713,**,Linear,bio19_precipitacao_trimestre_frio
(Intercept),-1.255879537088461,0.49064497634773463,-2.559650251464884,0.010477755201716153,-2.2280528253757943,-0.2999387001200333,*,Intercepto,(Intercept)
I(bio5_temp_max_mes_quente_z^2),0.35922267709083133,0.16150418450744372,2.224231391814339,0.026132880006643693,0.0298036639571405,0.6758690295041441,*,Quadrático,bio5_temp_max_mes_quente
I(bio4_sazonalidade_temperatura_z^2),-0.5379292481556895,0.2725135943005943,-1.9739538115017128,0.04838699514485934,-1.1396671095271058,-0.10956052441354631,*,Quadrático,bio4_sazonalidade_temperatura
I(elevacao_z^2),-0.5268263457465756,0.271186650893038,-1.942670644044229,0.05205596533368715,-1.0977397764389778,-0.026790611633643054,.,Quadrático,elevacao
declividade_z,0.5559882919551103,0.2880824968684928,1.9299620698890092,0.05361153765081954,0.00848148804624315,1.1486759506150068,.,Linear,declividade
I(bio3_isotermalidade_z^2),0.5847442954246136,0.3041104735699901,1.9228022256525028,0.05450489248553662,-0.010762038494068815,1.1882085121538866,.,Quadrático,bio3_isotermalidade
bio5_temp_max_mes_quente_z,-0.9172449934125413,0.48306742576933304,-1.898792889940234,0.05759171241117282,-1.8924904061624919,0.009357759132758967,.,Linear,bio5_temp_max_mes_quente
bio14_precipitacao_mes_seco_z,-1.2875845200058262,0.7048830015361908,-1.8266641658257068,0.06775027924847367,-2.684175841647809,0.09131637013763533,.,Linear,bio14_precipitacao_mes_seco
bio18_precipitacao_trimestre_quente_z,-0.6412608816386894,0.3640724618834084,-1.7613550838790126,0.07817832224700613,-1.3729261200593743,0.060247568346659966,.,Linear,bio18_precipitacao_trimestre_quente
I(bio19_precipitacao_trimestre_frio_z^2),-0.5017781093624367,0.3262190656128707,-1.538163039060092,0.12400875566954792,-1.1478499012463648,0.14245181127134926,ns,Quadrático,bio19_precipitacao_trimestre_frio
I(bio12_precipitacao_anual_z^2),-0.29998225022239594,0.22529828477677727,-1.331489276625495,0.18302807110638813,-0.7584021449605057,0.12184063597223219,ns,Quadrático,bio12_precipitacao_anual
I(bio14_precipitacao_mes_seco_z^2),-0.5329568138777245,0.45553782574498997,-1.1699507346203863,0.24202079513655414,-1.5085017826546003,0.29258488027465607,ns,Quadrático,bio14_precipitacao_mes_seco
orientacao_z,0.16602448058915742,0.15123871587319587,1.0977644158811721,0.27230737346519246,-0.12396228738963692,0.47177167507903695,ns,Linear,orientacao
I(declividade_z^2),-0.08466837576875287,0.08408816912598231,-1.006899979495347,0.31398284185404146,-0.31643284449786585,0.028692131026032106,ns,Quadrático,declividade
I(bio13_precipitacao_mes_umido_z^2),0.07233390340755987,0.09490956641342656,0.7621350106318368,0.44597942913533273,-0.1201085322515312,0.2542975904221325,ns,Quadrático,bio13_precipitacao_mes_umido
bio13_precipitacao_mes_umido_z,-0.17859785540433748,0.25445472380363215,-0.701884613241313,0.4827511253432087,-0.683127294720898,0.3185912184274908,ns,Linear,bio13_precipitacao_mes_umido
bio3_isotermalidade_z,0.23675947722382668,0.4562714581763782,0.5189004768567048,0.6038301452287185,-0.6545873486331282,1.1413361788981666,ns,Linear,bio3_isotermalidade
I(orientacao_z^2),-0.08722345388082814,0.19337585571019703,-0.45105658904773344,0.6519487641273005,-0.4709432103299399,0.2895023339821958,ns,Quadrático,orientacao
bio8_temp_media_trimestre_umido_z,-0.059936316193540534,0.44256338498289144,-0.1354299027603866,0.8922719829353449,-0.9216840874941175,0.8208087258354615,ns,Linear,bio8_temp_media_trimestre_umido
I(bio8_temp_media_trimestre_umido_z^2),-0.028632615273670385,0.22791189686348567,-0.125630191612247,0.9000246628424764,-0.49841129225105213,0.4007130550525081,ns,Quadrático,bio8_temp_media_trimestre_umido
