variavel,variavel_z,variavel_legenda,n_pontos,valor_min,valor_max,adequabilidade_min,adequabilidade_max,adequabilidade_media
bio12_precipitacao_anual,bio12_precipitacao_anual_z,Bio12 precipitacao anual,150,1546.56,3360.83,0.005752241659461205,0.7072594221828161,0.37652803840497684
bio13_precipitacao_mes_umido,bio13_precipitacao_mes_umido_z,Bio13 precipitacao mes umido,150,249.39000000000001,450.6599999999994,0.2068702181084316,0.3627230325568367,0.2434677973318224
bio14_precipitacao_mes_seco,bio14_precipitacao_mes_seco_z,Bio14 precipitacao mes seco,150,1,222.6099999999999,1.2482834785081765e-5,0.39084597988970143,0.1163233406491446
bio18_precipitacao_trimestre_quente,bio18_precipitacao_trimestre_quente_z,Bio18 precipitacao trimestre quente,150,113.39,803.4399999999996,2.174835024267871e-4,0.2452053683449561,0.11246402134132291
bio19_precipitacao_trimestre_frio,bio19_precipitacao_trimestre_frio_z,Bio19 precipitacao trimestre frio,150,37,1168.61,0.02359822787039249,0.2779845810291338,0.18437904233550637
bio3_isotermalidade,bio3_isotermalidade_z,Bio3 isotermalidade,150,66.64388595581055,90.07319198608397,0.22057069502638094,0.7761570597686057,0.3736035727890692
bio4_sazonalidade_temperatura,bio4_sazonalidade_temperatura_z,Bio4 sazonalidade temperatura,150,25.181279067993167,120.10195503234858,0.00911181630993192,0.5779813029387695,0.33174769174047014
bio5_temp_max_mes_quente,bio5_temp_max_mes_quente_z,Bio5 temp max mes quente,150,30.77347429275513,35.33091636657714,0.13754982226220763,0.7808517657811419,0.28266782657559414
bio8_temp_media_trimestre_umido,bio8_temp_media_trimestre_umido_z,Bio8 temp media trimestre umido,150,24.16404653549194,26.696682071685792,0.1958574820216309,0.23069822205299848,0.22161523398476432
declividade,declividade_z,Declividade,150,0.0029508732655085536,0.3886594736576078,0.1468210209557641,0.41997524640113915,0.33700730038936294
elevacao,elevacao_z,Elevacao,150,9,448.2199999999998,3.3147845055174865e-4,0.4288999854739367,0.1609349258634829
orientacao,orientacao_z,Orientacao,150,1.7121238565444947,356.6702612304687,0.15860467293049552,0.2389800324299283,0.216198045589394
