ordem,variavel_z,variavel_original
1,bio3_isotermalidade_z,bio3_isotermalidade
2,bio4_sazonalidade_temperatura_z,bio4_sazonalidade_temperatura
3,bio5_temp_max_mes_quente_z,bio5_temp_max_mes_quente
4,bio8_temp_media_trimestre_umido_z,bio8_temp_media_trimestre_umido
5,bio12_precipitacao_anual_z,bio12_precipitacao_anual
6,bio13_precipitacao_mes_umido_z,bio13_precipitacao_mes_umido
7,bio14_precipitacao_mes_seco_z,bio14_precipitacao_mes_seco
8,bio18_precipitacao_trimestre_quente_z,bio18_precipitacao_trimestre_quente
9,bio19_precipitacao_trimestre_frio_z,bio19_precipitacao_trimestre_frio
10,elevacao_z,elevacao
11,declividade_z,declividade
12,orientacao_z,orientacao
