limiar,sensibilidade,especificidade,acuracia,TSS,Kappa,TP,TN,FP,FN
0.01,0.9736842105263158,0.26646706586826346,0.3387096774193548,0.24015127639457923,0.06245389722153915,37,89,245,1
0.02,0.9473684210526315,0.37425149700598803,0.4327956989247312,0.32161991805861945,0.09421159527326439,36,125,209,2
0.03,0.9473684210526315,0.4281437125748503,0.48118279569892475,0.3755121336274818,0.11720440684635063,36,143,191,2
0.04,0.8947368421052632,0.4880239520958084,0.5295698924731183,0.38276079420107156,0.12986526946107782,34,163,171,4
0.05,0.868421052631579,0.562874251497006,0.5940860215053764,0.43129530412858497,0.1631108462455304,33,188,146,5
0.060000000000000005,0.868421052631579,0.592814371257485,0.6209677419354839,0.46123542388906413,0.1824812967581048,33,198,136,5
0.06999999999999999,0.868421052631579,0.6377245508982036,0.6612903225806451,0.5061456035297827,0.21513730743469525,33,213,121,5
0.08,0.868421052631579,0.6676646706586826,0.6881720430107527,0.5360857232902616,0.2397463002114166,33,223,111,5
0.09,0.8421052631578947,0.6856287425149701,0.7016129032258065,0.5277340056728648,0.2449531889994149,32,229,105,6
0.09999999999999999,0.8157894736842105,0.718562874251497,0.728494623655914,0.5343523479357075,0.2652534418022529,31,240,94,7
0.11,0.7894736842105263,0.7455089820359282,0.75,0.5349826662464545,0.28188309531717026,30,249,85,8
0.12,0.7894736842105263,0.7544910179640718,0.7580645161290323,0.5439647021745981,0.29199796988665205,30,252,82,8
0.13,0.7894736842105263,0.7634730538922155,0.7661290322580645,0.552946738102742,0.30249999999999994,30,255,79,8
0.14,0.7631578947368421,0.781437125748503,0.7795698924731183,0.5445950204853451,0.31185706551164033,29,261,73,9
0.15000000000000002,0.6842105263157895,0.8023952095808383,0.7903225806451613,0.4866057358966278,0.29858828079675104,26,268,66,12
0.16,0.6842105263157895,0.8233532934131736,0.8091397849462365,0.5075638197289631,0.32787052117263826,26,275,59,12
0.17,0.6578947368421053,0.8353293413173652,0.8172043010752689,0.49322407815947056,0.33107679289189773,25,279,55,13
0.18000000000000002,0.631578947368421,0.8413173652694611,0.8198924731182796,0.47289631263788223,0.325064991334489,24,281,53,14
0.19,0.6052631578947368,0.8592814371257484,0.8333333333333334,0.4645445950204854,0.33830617397291735,23,287,47,15
