variavel,variavel_z,variavel_legenda,n_pontos,valor_min,valor_max,adequabilidade_min,adequabilidade_max,adequabilidade_media
bio12_precipitacao_anual,bio12_precipitacao_anual_z,Bio12 precipitacao anual,150,1546.56,3360.83,0.015717374174206756,0.31458311253634413,0.18669599841851012
bio13_precipitacao_mes_umido,bio13_precipitacao_mes_umido_z,Bio13 precipitacao mes umido,150,249.39000000000001,450.6599999999994,0.13850883677285133,0.13851043329260898,0.13850977226165412
bio14_precipitacao_mes_seco,bio14_precipitacao_mes_seco_z,Bio14 precipitacao mes seco,150,1,222.6099999999999,0.0030025416600687354,0.1391971832167743,0.061499597967650366
bio18_precipitacao_trimestre_quente,bio18_precipitacao_trimestre_quente_z,Bio18 precipitacao trimestre quente,150,113.39,803.4399999999996,0.002442610866098618,0.14072521390412998,0.08013126628136492
bio19_precipitacao_trimestre_frio,bio19_precipitacao_trimestre_frio_z,Bio19 precipitacao trimestre frio,150,37,1168.61,0.07463098206544737,0.25122858930758524,0.14864250376861243
bio3_isotermalidade,bio3_isotermalidade_z,Bio3 isotermalidade,150,66.64388595581055,90.07319198608397,0.1369635133100772,0.46597157940956835,0.27889025642759774
bio4_sazonalidade_temperatura,bio4_sazonalidade_temperatura_z,Bio4 sazonalidade temperatura,150,25.181279067993167,120.10195503234858,0.011176414162642546,0.35074028570387733,0.15064035113705987
bio5_temp_max_mes_quente,bio5_temp_max_mes_quente_z,Bio5 temp max mes quente,150,30.77347429275513,35.33091636657714,0.06613538309027273,0.35313218487564585,0.14421621708035154
bio8_temp_media_trimestre_umido,bio8_temp_media_trimestre_umido_z,Bio8 temp media trimestre umido,150,24.16404653549194,26.696682071685792,0.13850866324802602,0.1385105791052078,0.13851000703371935
declividade,declividade_z,Declividade,150,0.0029508732655085536,0.3886594736576078,0.11493130797247048,0.268798618887714,0.20302635091313384
elevacao,elevacao_z,Elevacao,150,9,448.2199999999998,0.004146659140005206,0.21691263647041764,0.093326644655424
orientacao,orientacao_z,Orientacao,150,1.7121238565444947,356.6702612304687,0.13850774887580056,0.1385116367974827,0.13850997909469437
