ordem,variavel,variavel_z
1,bio3_isotermalidade,bio3_isotermalidade_z
2,bio4_sazonalidade_temperatura,bio4_sazonalidade_temperatura_z
3,bio5_temp_max_mes_quente,bio5_temp_max_mes_quente_z
4,bio8_temp_media_trimestre_umido,bio8_temp_media_trimestre_umido_z
5,bio12_precipitacao_anual,bio12_precipitacao_anual_z
6,bio13_precipitacao_mes_umido,bio13_precipitacao_mes_umido_z
7,bio14_precipitacao_mes_seco,bio14_precipitacao_mes_seco_z
8,bio18_precipitacao_trimestre_quente,bio18_precipitacao_trimestre_quente_z
9,bio19_precipitacao_trimestre_frio,bio19_precipitacao_trimestre_frio_z
10,elevacao,elevacao_z
11,declividade,declividade_z
12,orientacao,orientacao_z
