variavel,variavel_legenda,n_pontos,valor_min,valor_max,adequabilidade_min,adequabilidade_max,adequabilidade_media,amplitude_resposta,importancia_relativa
bio4_sazonalidade_temperatura,Bio4 sazonalidade temperatura,150,25.181279067993167,120.10195503234858,0.016035317460317458,0.12336071428571428,0.08172307407407409,0.10732539682539682,1
elevacao,Elevacao,150,9,448.2199999999998,0.03213373015873016,0.22484325396825394,0.06980086507936509,0.19270952380952378,0.950011199999168
bio18_precipitacao_trimestre_quente,Bio18 precipitacao trimestre quente,150,113.39,803.4399999999996,0.042367460317460325,0.20693373015873026,0.06626421164021165,0.16456626984126993,0.7548042244585212
bio14_precipitacao_mes_seco,Bio14 precipitacao mes seco,150,1,222.6099999999999,0.039377777777777775,0.0790757936507937,0.06463659788359792,0.03969801587301593,0.6826889841784507
bio12_precipitacao_anual,Bio12 precipitacao anual,150,1546.56,3360.83,0.026263095238095228,0.10894126984126984,0.06650194179894181,0.08267817460317461,0.6810355760707967
bio3_isotermalidade,Bio3 isotermalidade,150,66.64388595581055,90.07319198608397,0.04540277777777778,0.08199166666666671,0.06540406613756615,0.036588888888888935,0.472836640282017
bio19_precipitacao_trimestre_frio,Bio19 precipitacao trimestre frio,150,37,1168.61,0.043625,0.08207539682539687,0.05480917724867725,0.038450396825396874,0.462741965630491
bio8_temp_media_trimestre_umido,Bio8 temp media trimestre umido,150,24.16404653549194,26.696682071685792,0.044013888888888894,0.1237742063492064,0.061818076719576724,0.0797603174603175,0.3354361968994247
bio13_precipitacao_mes_umido,Bio13 precipitacao mes umido,150,249.39000000000001,450.6599999999994,0.04189087301587301,0.1597404761904762,0.08382957936507938,0.11784960317460319,0.295837269024572
bio5_temp_max_mes_quente,Bio5 temp max mes quente,150,30.77347429275513,35.33091636657714,0.04475277777777778,0.08029841269841273,0.05373138624338624,0.03554563492063495,0.2899106138895304
declividade,Declividade,150,0.0029508732655085536,0.3886594736576078,0.04540277777777778,0.11929047619047616,0.08730601587301585,0.07388769841269838,0.1503187308447848
orientacao,Orientacao,150,1.7121238565444947,356.6702612304687,0.041023015873015885,0.11287222222222232,0.047716039682539686,0.07184920634920644,0.0174263914089869
