variavel,variavel_legenda,n_pontos,valor_min,valor_max,adequabilidade_min,adequabilidade_max,adequabilidade_media,amplitude_resposta,importancia_relativa
bio4_sazonalidade_temperatura,Bio4 sazonalidade temperatura,150,25.181279067993167,120.10195503234858,0.018711494114786717,0.09000579996915137,0.06347161965180627,0.07129430585436465,1
elevacao,Elevacao,150,9,448.2199999999998,0.03859502222603056,0.2958704893140018,0.07717871220893487,0.2572754670879712,0.9717928961997742
bio19_precipitacao_trimestre_frio,Bio19 precipitacao trimestre frio,150,37,1168.61,0.037737982112233164,0.07569150091426773,0.0507846022577118,0.03795351880203456,0.8495874640596452
bio18_precipitacao_trimestre_quente,Bio18 precipitacao trimestre quente,150,113.39,803.4399999999996,0.033559236375142465,0.13350300201166326,0.05121106657499651,0.0999437656365208,0.8245829605257241
bio12_precipitacao_anual,Bio12 precipitacao anual,150,1546.56,3360.83,0.022943223060139233,0.07848171535624811,0.04811449532958457,0.055538492296108875,0.7878288181977705
bio14_precipitacao_mes_seco,Bio14 precipitacao mes seco,150,1,222.6099999999999,0.0412795340966127,0.0515662250807975,0.044556912112500055,0.010286690984184804,0.7723451070760896
bio13_precipitacao_mes_umido,Bio13 precipitacao mes umido,150,249.39000000000001,450.6599999999994,0.041744250813406845,0.10009486442907971,0.06360687342931491,0.05835061361567286,0.3383790464065588
bio3_isotermalidade,Bio3 isotermalidade,150,66.64388595581055,90.07319198608397,0.049116355288461144,0.05594170719446012,0.05220341985536195,0.0068253519059989776,0.3160773790155697
declividade,Declividade,150,0.0029508732655085536,0.3886594736576078,0.04774180627224872,0.10395020735449291,0.08530318896750819,0.05620840108224419,0.27375328527993303
bio5_temp_max_mes_quente,Bio5 temp max mes quente,150,30.77347429275513,35.33091636657714,0.04763967192736335,0.0848908512665233,0.05544174947650312,0.03725117933915996,0.2236866124650045
bio8_temp_media_trimestre_umido,Bio8 temp media trimestre umido,150,24.16404653549194,26.696682071685792,0.04056815146074759,0.061447205931869496,0.047174957779301335,0.020879054471121906,0.19337710870928515
orientacao,Orientacao,150,1.7121238565444947,356.6702612304687,0.0457184654064181,0.06441431488074442,0.05014231626210157,0.018695849474326322,0.155713058210418
