termo,beta,ativo,abs_beta
declividade,2.2706580632557594,TRUE,2.2706580632557594
hinge(bio18_precipitacao_trimestre_quente):497.30612244898:870,-1.823118895704933,TRUE,1.823118895704933
hinge(bio4_sazonalidade_temperatura):23.3376979827881:49.8058493477958,1.3122451710958454,TRUE,1.3122451710958454
hinge(elevacao):4:22.3469387755102,0.9736619601157781,TRUE,0.9736619601157781
hinge(bio18_precipitacao_trimestre_quente):76:157.020408163265,0.9049448637720592,TRUE,0.9049448637720592
hinge(bio12_precipitacao_anual):1234:2120.08163265306,0.7435909488164529,TRUE,0.7435909488164529
hinge(bio18_precipitacao_trimestre_quente):76:173.224489795918,0.7159000835856225,TRUE,0.7159000835856225
bio5_temp_max_mes_quente,-0.27885881923316547,TRUE,0.27885881923316547
hinge(bio5_temp_max_mes_quente):34.3274144931715:36.3612518310547,0.09335411011588665,TRUE,0.09335411011588665
hinge(declividade):0.000772110826801509:0.0159302630784864,0.0899818632106946,TRUE,0.0899818632106946
bio4_sazonalidade_temperatura,0.016542152057880004,TRUE,0.016542152057880004
hinge(bio12_precipitacao_anual):1234:2067.95918367347,0.014488455094978956,TRUE,0.014488455094978956
elevacao,-0.004418663005175935,TRUE,0.004418663005175935
bio12_precipitacao_anual,0.00200708136628225,TRUE,0.00200708136628225
bio13_precipitacao_mes_umido,-0.001421591634488044,TRUE,0.001421591634488044
orientacao,8.885470643043631e-4,TRUE,8.885470643043631e-4
I(bio14_precipitacao_mes_seco^2),-8.229145215751002e-5,TRUE,8.229145215751002e-5
I(bio8_temp_media_trimestre_umido^2),-5.8504580876794955e-5,TRUE,5.8504580876794955e-5
I(elevacao^2),-6.431878307542848e-6,TRUE,6.431878307542848e-6
I(bio18_precipitacao_trimestre_quente^2),-3.3396568438604248e-6,TRUE,3.3396568438604248e-6
I(bio19_precipitacao_trimestre_frio^2),-8.68268668678974e-7,TRUE,8.68268668678974e-7
I(bio13_precipitacao_mes_umido^2),-4.258391093861458e-7,TRUE,4.258391093861458e-7
