variavel,variavel_legenda,n_pontos,valor_min,valor_max,adequabilidade_min,adequabilidade_max,adequabilidade_media,amplitude_resposta,importancia_relativa
bio3_isotermalidade,Bio3 isotermalidade,150,66.64388595581055,90.07319198608397,0.6063157650286095,0.6063157650286095,0.6063157650286095,0,0
bio4_sazonalidade_temperatura,Bio4 sazonalidade temperatura,150,25.181279067993167,120.10195503234858,0.16631811157441345,0.9484210625265799,0.6819188741164675,0.7821029509521664,0
bio5_temp_max_mes_quente,Bio5 temp max mes quente,150,30.77347429275513,35.33091636657714,0.35948701760313906,0.7804636770909388,0.5578386283737761,0.4209766594877997,0
bio8_temp_media_trimestre_umido,Bio8 temp media trimestre umido,150,24.16404653549194,26.696682071685792,0.6051856778772486,0.6079515006027321,0.6065912736629914,0.0027658227254834244,0
bio12_precipitacao_anual,Bio12 precipitacao anual,150,1546.56,3360.83,0.13410102198955565,0.9998726283820655,0.682165032202493,0.8657716063925098,0
bio13_precipitacao_mes_umido,Bio13 precipitacao mes umido,150,249.39000000000001,450.6599999999994,0.5290693908017892,0.655095313486223,0.5927572450293014,0.1260259226844338,0
bio14_precipitacao_mes_seco,Bio14 precipitacao mes seco,150,1,222.6099999999999,0.020572635461029942,0.7067925511930863,0.36214397995786213,0.6862199157320563,0
bio18_precipitacao_trimestre_quente,Bio18 precipitacao trimestre quente,150,113.39,803.4399999999996,0.03982983539984131,0.7579914566329888,0.44671795936084746,0.7181616212331475,0
bio19_precipitacao_trimestre_frio,Bio19 precipitacao trimestre frio,150,37,1168.61,0.32838333323599167,0.7278451153539693,0.5828983067144778,0.39946178211797767,0
elevacao,Elevacao,150,9,448.2199999999998,0.08290322205068401,0.8710602302183174,0.4602919980977517,0.7881570081676333,0
declividade,Declividade,150,0.0029508732655085536,0.3886594736576078,0.5278537769587746,0.8571624872202606,0.7116456995731365,0.329308710261486,0
orientacao,Orientacao,150,1.7121238565444947,356.6702612304687,0.5517608960924294,0.6671194969665695,0.6092655543037396,0.11535860087414007,0
