fc,regmult,AUC_treino,AUC_teste,delta_auc,n_coef,score,status
lqh,2,0.8432788993991874,0.8395052001260637,0.003773699273123765,22,0.8300321435929501,ok
lqh,3,0.8295841372927353,0.8332020170185944,-0.003617879725859141,16,0.8276847756392841,ok
lqh,4,0.8211602114609315,0.829262527576426,-0.008102316115494501,14,0.8244349413695294,ok
lq,0.5,0.8355138281017146,0.8302080050425464,0.005305823059168158,17,0.8216930245474451,ok
lqhp,2,0.8461339357146218,0.8347778127954617,0.011356122919160105,24,0.8208238892669162,ok
lqhp,3,0.8366903540558771,0.8306807437756066,0.006009610280270472,20,0.8207793869113335,ok
lq,1,0.8304469229924546,0.8272139930664986,0.0032329299259560296,15,0.8204251143104172,ok
lqhp,4,0.8290821528856259,0.8265836747557517,0.0024984781298742487,16,0.8198171943115042,ok
lq,1.5,0.8259918113793591,0.8228017648912701,0.00319004648808896,14,0.816379155440329,ok
lq,2,0.8201562426467128,0.8198865427040656,2.6969994264725017e-4,14,0.8149241065258453,ok
lq,4,0.8078576246725336,0.8181531673495115,-0.010295542676977854,11,0.8143600639012356,ok
lq,3,0.8120460570693523,0.817838008194138,-0.005791951124785699,12,0.8137000771596552,ok
lqhp,1.5,0.8703233093322038,0.83871730223763,0.03160600709457384,40,0.8091211952420672,ok
lqh,1.5,0.8677663262584906,0.8355657106838954,0.03220061557459519,34,0.8077412649655633,ok
l,1.5,0.7943667937314697,0.8086983926883076,-0.014331598956837888,11,0.8049052892400317,ok
l,1,0.7937236262098608,0.8083832335329342,-0.014659607323073365,12,0.8042453024984514,ok
l,2,0.7943824807441919,0.8079892845887173,-0.013606803844525395,11,0.8041961811404414,ok
l,3,0.7941314885406372,0.8079892845887173,-0.013857796048080129,11,0.8041961811404414,ok
l,0.5,0.7932843898536401,0.8064134888118499,-0.013129098958209795,12,0.8022755577773671,ok
l,4,0.7938491223116382,0.8056255909234163,-0.011776468611778168,11,0.8018324874751405,ok
lqh,1,0.8869515428177012,0.832256539552474,0.05469500326522714,44,0.789736624126757,ok
lqhp,1,0.8998148932498784,0.8380081941380397,0.06180669911183867,55,0.7881393273407411,ok
lqhp,0.5,0.9240042668674604,0.8388748818153168,0.08512938505214362,58,0.776310189289245,ok
lqh,0.5,0.9091643528322901,0.8289473684210527,0.08021698441123748,58,0.7688388762154339,ok
