modelo_1,modelo_2,correlacao_pearson
GLM,GLM,1
GLM,GAM,0.9295511235173324
GLM,RF,0.6721704112842916
GLM,BRT,0.7064414314265367
GLM,MaxEnt,0.8195209334395566
GAM,GLM,0.9295511235173324
GAM,GAM,1
GAM,RF,0.7272759981383686
GAM,BRT,0.7313428026503176
GAM,MaxEnt,0.854422591824104
RF,GLM,0.6721704112842916
RF,GAM,0.7272759981383686
RF,RF,1
RF,BRT,0.8930580571228286
RF,MaxEnt,0.6332973495640323
BRT,GLM,0.7064414314265367
BRT,GAM,0.7313428026503176
BRT,RF,0.8930580571228286
BRT,BRT,1
BRT,MaxEnt,0.6686039592181025
MaxEnt,GLM,0.8195209334395566
MaxEnt,GAM,0.854422591824104
MaxEnt,RF,0.6332973495640323
MaxEnt,BRT,0.6686039592181025
MaxEnt,MaxEnt,1
