classe,pred_medio,n_total,n_pres,freq_disp,freq_pres,pe_ratio
"[0.0138,0.0624]",0.04687186226126117,259,0,0.06727272727272728,0,0
"(0.0624,0.111]",0.08974793448943484,762,0,0.19792207792207792,0,0
"(0.111,0.16]",0.1349957989102038,842,8,0.2187012987012987,0.022857142857142857,0.10451306413301663
"(0.16,0.208]",0.18303043446446035,732,36,0.19012987012987012,0.10285714285714286,0.5409836065573771
"(0.208,0.257]",0.23126067082153093,543,61,0.14103896103896105,0.1742857142857143,1.2357274401473297
"(0.257,0.305]",0.27897399414645835,353,71,0.0916883116883117,0.20285714285714285,2.212464589235127
"(0.305,0.354]",0.32502954961785235,234,83,0.06077922077922078,0.23714285714285716,3.901709401709402
"(0.354,0.402]",0.37172463424743474,90,58,0.023376623376623377,0.1657142857142857,7.088888888888889
"(0.402,0.451]",0.42090728218374474,28,26,0.007272727272727273,0.07428571428571429,10.214285714285715
"(0.451,0.499]",0.469580644882594,7,7,0.0018181818181818182,0.02,11
