modelo,posicao,metrica,valor_normalizado,metrica_original,peso
Ensemble_media,1,AUC_n,0.9973958333333339,AUC,0.19999999999999998
Ensemble_media,1,TSS_n,0.7590909090909109,TSS,0.1909090909090909
Ensemble_media,1,Kappa_n,0.5312695800883606,Kappa,0.1636363636363636
Ensemble_media,1,Acuracia_n,0.41666666666666596,Acuracia,0.07272727272727272
Ensemble_media,1,Sensibilidade_n,0.5999999999999999,Sensibilidade,0.09090909090909091
Ensemble_media,1,Especificidade_n,0.41379310344827674,Especificidade,0.09090909090909091
Ensemble_media,1,Precisao_n,0.4105131414267828,Precisao,0.054545454545454536
Ensemble_media,1,F1_n,0.5725995316159253,F1,0.054545454545454536
Ensemble_media,1,Brier_n,0.9622293716378285,Brier,0.0818181818181818
Ensemble_ponderado,2,AUC_n,1,AUC,0.19999999999999998
Ensemble_ponderado,2,TSS_n,0.6727272727272724,TSS,0.1909090909090909
Ensemble_ponderado,2,Kappa_n,0.4240802421669706,Kappa,0.1636363636363636
Ensemble_ponderado,2,Acuracia_n,0.33333333333333276,Acuracia,0.07272727272727272
Ensemble_ponderado,2,Sensibilidade_n,0.5999999999999999,Sensibilidade,0.09090909090909091
Ensemble_ponderado,2,Especificidade_n,0.34482758620689685,Especificidade,0.09090909090909091
Ensemble_ponderado,2,Precisao_n,0.3187397708674301,Precisao,0.054545454545454536
Ensemble_ponderado,2,F1_n,0.4606326483491113,F1,0.054545454545454536
Ensemble_ponderado,2,Brier_n,0.9608496962834389,Brier,0.0818181818181818
RF,3,AUC_n,0,AUC,0.19999999999999998
RF,3,TSS_n,0.35454545454545494,TSS,0.1909090909090909
RF,3,Kappa_n,1,Kappa,0.1636363636363636
RF,3,Acuracia_n,1,Acuracia,0.07272727272727272
RF,3,Sensibilidade_n,0,Sensibilidade,0.09090909090909091
RF,3,Especificidade_n,1,Especificidade,0.09090909090909091
RF,3,Precisao_n,1,Precisao,0.054545454545454536
RF,3,F1_n,1,F1,0.054545454545454536
RF,3,Brier_n,0.9870679715916184,Brier,0.0818181818181818
BRT,4,AUC_n,0.5338541666666661,AUC,0.19999999999999998
BRT,4,TSS_n,1,TSS,0.1909090909090909
BRT,4,Kappa_n,0.2505512203799328,Kappa,0.1636363636363636
BRT,4,Acuracia_n,0,Acuracia,0.07272727272727272
BRT,4,Sensibilidade_n,1,Sensibilidade,0.09090909090909091
BRT,4,Especificidade_n,0,Especificidade,0.09090909090909091
BRT,4,Precisao_n,0.10528246515040351,Precisao,0.054545454545454536
BRT,4,F1_n,0.3161592505854806,F1,0.054545454545454536
BRT,4,Brier_n,1,Brier,0.0818181818181818
GLM,5,AUC_n,0.5755208333333339,AUC,0.19999999999999998
GLM,5,TSS_n,0.1636363636363638,TSS,0.1909090909090909
GLM,5,Kappa_n,0.09888454622992553,Kappa,0.1636363636363636
GLM,5,Acuracia_n,0.16666666666666638,Acuracia,0.07272727272727272
GLM,5,Sensibilidade_n,0.4000000000000002,Sensibilidade,0.09090909090909091
GLM,5,Especificidade_n,0.24137931034482768,Especificidade,0.09090909090909091
GLM,5,Precisao_n,0.08229626655961429,Precisao,0.054545454545454536
GLM,5,F1_n,0.10245901639344321,F1,0.054545454545454536
GLM,5,Brier_n,0.9481589067980883,Brier,0.0818181818181818
MaxEnt,6,AUC_n,0.5807291666666661,AUC,0.19999999999999998
MaxEnt,6,TSS_n,0,TSS,0.1909090909090909
MaxEnt,6,Kappa_n,0.1818391332073933,Kappa,0.1636363636363636
MaxEnt,6,Acuracia_n,0.33333333333333276,Acuracia,0.07272727272727272
MaxEnt,6,Sensibilidade_n,0.2000000000000005,Sensibilidade,0.09090909090909091
MaxEnt,6,Especificidade_n,0.41379310344827674,Especificidade,0.09090909090909091
MaxEnt,6,Precisao_n,0.19191489361702072,Precisao,0.054545454545454536
MaxEnt,6,F1_n,0.16749821810406348,F1,0.054545454545454536
MaxEnt,6,Brier_n,0,Brier,0.0818181818181818
GAM,7,AUC_n,0.08593750000000183,AUC,0.19999999999999998
GAM,7,TSS_n,0.07727272727272842,TSS,0.1909090909090909
GAM,7,Kappa_n,0,Kappa,0.1636363636363636
GAM,7,Acuracia_n,0.08333333333333319,Acuracia,0.07272727272727272
GAM,7,Sensibilidade_n,0.4000000000000002,Sensibilidade,0.09090909090909091
GAM,7,Especificidade_n,0.17241379310344906,Especificidade,0.09090909090909091
GAM,7,Precisao_n,0,Precisao,0.054545454545454536
GAM,7,F1_n,0,F1,0.054545454545454536
GAM,7,Brier_n,0.9269837391278394,Brier,0.0818181818181818
