modelo,observado,predito,n,total_modelo,proporcao_total,proporcao_linha,classe_confusao,rotulo
BRT,Presença,Adequado,33,372,0.08870967741935484,0.08870967741935484,TP,"33
8.9%"
BRT,Presença,Inadequado,5,372,0.013440860215053764,0.08870967741935484,FN,"5
1.3%"
BRT,Background,Adequado,83,372,0.22311827956989247,0.08870967741935484,FP,"83
22.3%"
BRT,Background,Inadequado,251,372,0.6747311827956989,0.08870967741935484,TN,"251
67.5%"
Ensemble_media,Presença,Adequado,31,372,0.08333333333333333,0.08333333333333333,TP,"31
8.3%"
Ensemble_media,Presença,Inadequado,7,372,0.01881720430107527,0.08333333333333333,FN,"7
1.9%"
Ensemble_media,Background,Adequado,71,372,0.19086021505376344,0.08333333333333333,FP,"71
19.1%"
Ensemble_media,Background,Inadequado,263,372,0.706989247311828,0.08333333333333333,TN,"263
70.7%"
Ensemble_ponderado,Presença,Adequado,31,372,0.08333333333333333,0.08333333333333333,TP,"31
8.3%"
Ensemble_ponderado,Presença,Inadequado,7,372,0.01881720430107527,0.08333333333333333,FN,"7
1.9%"
Ensemble_ponderado,Background,Adequado,73,372,0.19623655913978494,0.08333333333333333,FP,"73
19.6%"
Ensemble_ponderado,Background,Inadequado,261,372,0.7016129032258065,0.08333333333333333,TN,"261
70.2%"
GAM,Presença,Adequado,30,372,0.08064516129032258,0.08064516129032258,TP,"30
8.1%"
GAM,Presença,Inadequado,8,372,0.021505376344086023,0.08064516129032258,FN,"8
2.2%"
GAM,Background,Adequado,78,372,0.20967741935483872,0.08064516129032258,FP,"78
21%"
GAM,Background,Inadequado,256,372,0.6881720430107527,0.08064516129032258,TN,"256
68.8%"
GLM,Presença,Adequado,30,372,0.08064516129032258,0.08064516129032258,TP,"30
8.1%"
GLM,Presença,Inadequado,8,372,0.021505376344086023,0.08064516129032258,FN,"8
2.2%"
GLM,Background,Adequado,76,372,0.20430107526881722,0.08064516129032258,FP,"76
20.4%"
GLM,Background,Inadequado,258,372,0.6935483870967742,0.08064516129032258,TN,"258
69.4%"
MaxEnt,Presença,Adequado,29,372,0.07795698924731183,0.07795698924731183,TP,"29
7.8%"
MaxEnt,Presença,Inadequado,9,372,0.024193548387096774,0.07795698924731183,FN,"9
2.4%"
MaxEnt,Background,Adequado,71,372,0.19086021505376344,0.07795698924731183,FP,"71
19.1%"
MaxEnt,Background,Inadequado,263,372,0.706989247311828,0.07795698924731183,TN,"263
70.7%"
RF,Presença,Adequado,28,372,0.07526881720430108,0.07526881720430108,TP,"28
7.5%"
RF,Presença,Inadequado,10,372,0.026881720430107527,0.07526881720430108,FN,"10
2.7%"
RF,Background,Adequado,54,372,0.14516129032258066,0.07526881720430108,FP,"54
14.5%"
RF,Background,Inadequado,280,372,0.7526881720430108,0.07526881720430108,TN,"280
75.3%"
