modelo,threshold,VP,VN,FP,FN,sensibilidade,especificidade,TSS,Kappa
glm,0,350,0,3500,0,1,0,0,0
glm,0.01,349,62,3438,1,0.9971428571428571,0.017714285714285714,0.014857142857142902,0.002741676113146866
glm,0.02,344,225,3275,6,0.9828571428571429,0.06428571428571428,0.04714285714285715,0.009060706735125343
glm,0.03,338,432,3068,12,0.9657142857142857,0.12342857142857143,0.08914285714285719,0.01808485972640851
glm,0.04,331,635,2865,19,0.9457142857142857,0.18142857142857144,0.12714285714285722,0.027288894339854042
glm,0.05,319,862,2638,31,0.9114285714285715,0.24628571428571427,0.1577142857142857,0.036240685421659036
glm,0.06,305,1096,2404,45,0.8714285714285714,0.31314285714285717,0.1845714285714286,0.04576529347171539
glm,0.07,291,1354,2146,59,0.8314285714285714,0.38685714285714284,0.2182857142857142,0.05926385602916648
glm,0.08,271,1643,1857,79,0.7742857142857142,0.4694285714285714,0.24371428571428577,0.07416746369880882
glm,0.09,250,1920,1580,100,0.7142857142857143,0.5485714285714286,0.2628571428571429,0.09055118110236221
glm,0.1,226,2193,1307,124,0.6457142857142857,0.6265714285714286,0.27228571428571424,0.10800702669008892
glm,0.11,202,2414,1086,148,0.5771428571428572,0.6897142857142857,0.2668571428571429,0.12096878642662874
glm,0.12,175,2610,890,175,0.5,0.7457142857142857,0.24571428571428555,0.12802381838481566
glm,0.13,147,2802,698,203,0.42,0.8005714285714286,0.22057142857142864,0.13478830205150585
glm,0.14,124,2950,550,226,0.35428571428571426,0.8428571428571429,0.19714285714285706,0.13916901976603438
glm,0.15,102,3079,421,248,0.2914285714285714,0.8797142857142857,0.17114285714285704,0.1400023372677344
glm,0.16,78,3197,303,272,0.22285714285714286,0.9134285714285715,0.13628571428571434,0.13106195906031068
glm,0.17,60,3298,202,290,0.17142857142857143,0.9422857142857143,0.11371428571428566,0.12822164948453568
glm,0.18,41,3352,148,309,0.11714285714285715,0.9577142857142857,0.07485714285714296,0.09439740587281543
glm,0.19,26,3413,87,324,0.07428571428571429,0.9751428571428571,0.04942857142857138,0.07109102116293498
glm,0.2,15,3444,56,335,0.04285714285714286,0.984,0.026857142857142913,0.04188015148139904
glm,0.21,9,3472,28,341,0.025714285714285714,0.992,0.017714285714285793,0.029643796318432968
glm,0.22,3,3487,13,347,0.008571428571428572,0.9962857142857143,0.004857142857142893,0.008512769153730405
glm,0.23,1,3494,6,349,0.002857142857142857,0.9982857142857143,0.0011428571428571122,0.0020444671607480194
glm,0.24,0,3500,0,350,0,1,0,0
glm,0.25,0,3500,0,350,0,1,0,0
glm,0.26,0,3500,0,350,0,1,0,0
glm,0.27,0,3500,0,350,0,1,0,0
glm,0.28,0,3500,0,350,0,1,0,0
glm,0.29,0,3500,0,350,0,1,0,0
glm,0.3,0,3500,0,350,0,1,0,0
glm,0.31,0,3500,0,350,0,1,0,0
glm,0.32,0,3500,0,350,0,1,0,0
glm,0.33,0,3500,0,350,0,1,0,0
glm,0.34,0,3500,0,350,0,1,0,0
glm,0.35000000000000003,0,3500,0,350,0,1,0,0
glm,0.36,0,3500,0,350,0,1,0,0
glm,0.37,0,3500,0,350,0,1,0,0
glm,0.38,0,3500,0,350,0,1,0,0
glm,0.39,0,3500,0,350,0,1,0,0
glm,0.4,0,3500,0,350,0,1,0,0
glm,0.41000000000000003,0,3500,0,350,0,1,0,0
glm,0.42,0,3500,0,350,0,1,0,0
glm,0.43,0,3500,0,350,0,1,0,0
glm,0.44,0,3500,0,350,0,1,0,0
glm,0.45,0,3500,0,350,0,1,0,0
glm,0.46,0,3500,0,350,0,1,0,0
glm,0.47000000000000003,0,3500,0,350,0,1,0,0
glm,0.48,0,3500,0,350,0,1,0,0
glm,0.49,0,3500,0,350,0,1,0,0
glm,0.5,0,3500,0,350,0,1,0,0
glm,0.51,0,3500,0,350,0,1,0,0
glm,0.52,0,3500,0,350,0,1,0,0
glm,0.53,0,3500,0,350,0,1,0,0
glm,0.54,0,3500,0,350,0,1,0,0
glm,0.55,0,3500,0,350,0,1,0,0
glm,0.56,0,3500,0,350,0,1,0,0
glm,0.5700000000000001,0,3500,0,350,0,1,0,0
glm,0.58,0,3500,0,350,0,1,0,0
glm,0.59,0,3500,0,350,0,1,0,0
