modelo,posicao,score_integrado,desempenho_integrado,metrica,valor
Ensemble_media,1,0.6861497631818182,Alto,AUC,0.852269145918689
Ensemble_media,1,0.6861497631818182,Alto,TSS,0.6032146233848095
Ensemble_media,1,0.6861497631818182,Alto,Kappa,0.34542501353546273
Ensemble_media,1,0.6861497631818182,Alto,Acuracia,0.7903225806451613
Ensemble_media,1,0.6861497631818182,Alto,Sensibilidade,0.8157894736842105
Ensemble_media,1,0.6861497631818182,Alto,Especificidade,0.7874251497005988
Ensemble_media,1,0.6861497631818182,Alto,Precisao,0.30392156862745096
Ensemble_media,1,0.6861497631818182,Alto,F1,0.4428571428571429
Ensemble_media,1,0.6861497631818182,Alto,Brier,0.07276108094510005
Ensemble_media,1,0.6861497631818182,Alto,Boyce,NA
Ensemble_media,1,0.6861497631818182,Alto,AUC_n,0.9973958333333339
Ensemble_media,1,0.6861497631818182,Alto,TSS_n,0.7590909090909109
Ensemble_media,1,0.6861497631818182,Alto,Kappa_n,0.5312695800883606
Ensemble_media,1,0.6861497631818182,Alto,Acuracia_n,0.41666666666666596
Ensemble_media,1,0.6861497631818182,Alto,Sensibilidade_n,0.5999999999999999
Ensemble_media,1,0.6861497631818182,Alto,Especificidade_n,0.41379310344827674
Ensemble_media,1,0.6861497631818182,Alto,Precisao_n,0.4105131414267828
Ensemble_media,1,0.6861497631818182,Alto,F1_n,0.5725995316159253
Ensemble_media,1,0.6861497631818182,Alto,Brier_n,0.9622293716378285
Ensemble_media,1,0.6861497631818182,Alto,Boyce_n,NA
Ensemble_ponderado,2,0.6290867377272727,Alto,AUC,0.8523479357075323
Ensemble_ponderado,2,0.6290867377272727,Alto,TSS,0.5972265994327135
Ensemble_ponderado,2,0.6290867377272727,Alto,Kappa,0.33748886910062315
Ensemble_ponderado,2,0.6290867377272727,Alto,Acuracia,0.7849462365591398
Ensemble_ponderado,2,0.6290867377272727,Alto,Sensibilidade,0.8157894736842105
Ensemble_ponderado,2,0.6290867377272727,Alto,Especificidade,0.781437125748503
Ensemble_ponderado,2,0.6290867377272727,Alto,Precisao,0.2980769230769231
Ensemble_ponderado,2,0.6290867377272727,Alto,F1,0.4366197183098592
Ensemble_ponderado,2,0.6290867377272727,Alto,Brier,0.07288471710220776
Ensemble_ponderado,2,0.6290867377272727,Alto,Boyce,NA
Ensemble_ponderado,2,0.6290867377272727,Alto,AUC_n,1
Ensemble_ponderado,2,0.6290867377272727,Alto,TSS_n,0.6727272727272724
Ensemble_ponderado,2,0.6290867377272727,Alto,Kappa_n,0.4240802421669706
Ensemble_ponderado,2,0.6290867377272727,Alto,Acuracia_n,0.33333333333333276
Ensemble_ponderado,2,0.6290867377272727,Alto,Sensibilidade_n,0.5999999999999999
Ensemble_ponderado,2,0.6290867377272727,Alto,Especificidade_n,0.34482758620689685
Ensemble_ponderado,2,0.6290867377272727,Alto,Precisao_n,0.3187397708674301
Ensemble_ponderado,2,0.6290867377272727,Alto,F1_n,0.4606326483491113
Ensemble_ponderado,2,0.6290867377272727,Alto,Brier_n,0.9608496962834389
Ensemble_ponderado,2,0.6290867377272727,Alto,Boyce_n,NA
RF,3,0.584809695,Moderado,AUC,0.8220926567916798
RF,3,0.584809695,Moderado,TSS,0.5751654585565711
RF,3,0.584809695,Moderado,Kappa,0.38012913976254953
RF,3,0.584809695,Moderado,Acuracia,0.8279569892473119
RF,3,0.584809695,Moderado,Sensibilidade,0.7368421052631579
RF,3,0.584809695,Moderado,Especificidade,0.8383233532934131
RF,3,0.584809695,Moderado,Precisao,0.34146341463414637
RF,3,0.584809695,Moderado,F1,0.46666666666666673
RF,3,0.584809695,Moderado,Brier,0.07053523191731847
RF,3,0.584809695,Moderado,Boyce,NA
RF,3,0.584809695,Moderado,AUC_n,0
RF,3,0.584809695,Moderado,TSS_n,0.35454545454545494
RF,3,0.584809695,Moderado,Kappa_n,1
RF,3,0.584809695,Moderado,Acuracia_n,1
RF,3,0.584809695,Moderado,Sensibilidade_n,0
RF,3,0.584809695,Moderado,Especificidade_n,1
RF,3,0.584809695,Moderado,Precisao_n,1
RF,3,0.584809695,Moderado,F1_n,1
RF,3,0.584809695,Moderado,Brier_n,0.9870679715916184
RF,3,0.584809695,Moderado,Boyce_n,NA
BRT,4,0.5343942270909091,Moderado,AUC,0.8382445635045698
BRT,4,0.5343942270909091,Moderado,TSS,0.6199180586196029
BRT,4,0.5343942270909091,Moderado,Kappa,0.3246410298729163
BRT,4,0.5343942270909091,Moderado,Acuracia,0.7634408602150538
BRT,4,0.5343942270909091,Moderado,Sensibilidade,0.868421052631579
BRT,4,0.5343942270909091,Moderado,Especificidade,0.7514970059880239
BRT,4,0.5343942270909091,Moderado,Precisao,0.28448275862068967
BRT,4,0.5343942270909091,Moderado,F1,0.4285714285714286
BRT,4,0.5343942270909091,Moderado,Brier,0.06937636052707943
BRT,4,0.5343942270909091,Moderado,Boyce,NA
BRT,4,0.5343942270909091,Moderado,AUC_n,0.5338541666666661
BRT,4,0.5343942270909091,Moderado,TSS_n,1
BRT,4,0.5343942270909091,Moderado,Kappa_n,0.2505512203799328
BRT,4,0.5343942270909091,Moderado,Acuracia_n,0
BRT,4,0.5343942270909091,Moderado,Sensibilidade_n,1
BRT,4,0.5343942270909091,Moderado,Especificidade_n,0
BRT,4,0.5343942270909091,Moderado,Precisao_n,0.10528246515040351
BRT,4,0.5343942270909091,Moderado,F1_n,0.3161592505854806
BRT,4,0.5343942270909091,Moderado,Brier_n,1
BRT,4,0.5343942270909091,Moderado,Boyce_n,NA
GLM,5,0.32060755581818184,Baixo,AUC,0.8395052001260637
GLM,5,0.32060755581818184,Baixo,TSS,0.5619287740308856
GLM,5,0.32060755581818184,Baixo,Kappa,0.3134118474248548
GLM,5,0.32060755581818184,Baixo,Acuracia,0.7741935483870968
GLM,5,0.32060755581818184,Baixo,Sensibilidade,0.7894736842105263
GLM,5,0.32060755581818184,Baixo,Especificidade,0.7724550898203593
GLM,5,0.32060755581818184,Baixo,Precisao,0.2830188679245283
GLM,5,0.32060755581818184,Baixo,F1,0.4166666666666667
GLM,5,0.32060755581818184,Baixo,Brier,0.07402197046955941
GLM,5,0.32060755581818184,Baixo,Boyce,NA
GLM,5,0.32060755581818184,Baixo,AUC_n,0.5755208333333339
GLM,5,0.32060755581818184,Baixo,TSS_n,0.1636363636363638
GLM,5,0.32060755581818184,Baixo,Kappa_n,0.09888454622992553
GLM,5,0.32060755581818184,Baixo,Acuracia_n,0.16666666666666638
GLM,5,0.32060755581818184,Baixo,Sensibilidade_n,0.4000000000000002
GLM,5,0.32060755581818184,Baixo,Especificidade_n,0.24137931034482768
GLM,5,0.32060755581818184,Baixo,Precisao_n,0.08229626655961429
GLM,5,0.32060755581818184,Baixo,F1_n,0.10245901639344321
GLM,5,0.32060755581818184,Baixo,Brier_n,0.9481589067980883
GLM,5,0.32060755581818184,Baixo,Boyce_n,NA
MaxEnt,6,0.2455474810909091,Baixo,AUC,0.8396627797037504
MaxEnt,6,0.2455474810909091,Baixo,TSS,0.5505830444374409
MaxEnt,6,0.2455474810909091,Baixo,Kappa,0.3195536857508687
MaxEnt,6,0.2455474810909091,Baixo,Acuracia,0.7849462365591398
MaxEnt,6,0.2455474810909091,Baixo,Sensibilidade,0.7631578947368421
MaxEnt,6,0.2455474810909091,Baixo,Especificidade,0.7874251497005988
MaxEnt,6,0.2455474810909091,Baixo,Precisao,0.29
MaxEnt,6,0.2455474810909091,Baixo,F1,0.4202898550724638
MaxEnt,6,0.2455474810909091,Baixo,Brier,0.1589888601012332
MaxEnt,6,0.2455474810909091,Baixo,Boyce,NA
MaxEnt,6,0.2455474810909091,Baixo,AUC_n,0.5807291666666661
MaxEnt,6,0.2455474810909091,Baixo,TSS_n,0
MaxEnt,6,0.2455474810909091,Baixo,Kappa_n,0.1818391332073933
