cenario,periodo,gcm,limiar,classe_nome,n_pixels,proporcao
ssp126,2061-2080,MIROC6,0.20626672259799392,Inadequado estável,9545,0.7919190243093006
ssp126,2061-2080,MIROC6,0.20626672259799392,Perda potencial,712,0.05907243010038994
ssp126,2061-2080,MIROC6,0.20626672259799392,Ganho potencial,63,0.005226914461130009
ssp126,2061-2080,MIROC6,0.20626672259799392,Adequado estável,1733,0.14378163112917947
ssp245,2061-2080,MIROC6,0.20626672259799392,Inadequado estável,9444,0.7835393677922509
ssp245,2061-2080,MIROC6,0.20626672259799392,Perda potencial,1097,0.0910146851406289
ssp245,2061-2080,MIROC6,0.20626672259799392,Ganho potencial,164,0.013606570978179706
ssp245,2061-2080,MIROC6,0.20626672259799392,Adequado estável,1348,0.11183937608894051
ssp370,2061-2080,MIROC6,0.20626672259799392,Inadequado estável,9065,0.7520949141292624
ssp370,2061-2080,MIROC6,0.20626672259799392,Perda potencial,981,0.081390525180453
ssp370,2061-2080,MIROC6,0.20626672259799392,Ganho potencial,543,0.045051024641168176
ssp370,2061-2080,MIROC6,0.20626672259799392,Adequado estável,1464,0.1214635360491164
ssp585,2061-2080,MIROC6,0.20626672259799392,Inadequado estável,8013,0.6648137393180121
ssp585,2061-2080,MIROC6,0.20626672259799392,Perda potencial,645,0.05351364805442629
ssp585,2061-2080,MIROC6,0.20626672259799392,Ganho potencial,1595,0.13233219945241848
ssp585,2061-2080,MIROC6,0.20626672259799392,Adequado estável,1800,0.14934041317514313
