modelo,cenario,periodo,gcm,n_pixels,minimo,primeiro_quartil,mediana,media,terceiro_quartil,maximo,desvio_padrao
BRT,ssp126,2061-2080,MIROC6,12053,0.004567405361041155,0.019143197517657046,0.03212703868439169,0.0622429556925786,0.06650081058693906,0.8523008956485116,0.08711749807526678
GAM,ssp126,2061-2080,MIROC6,12053,5.909396918813353e-7,0.01048183783508933,0.03148248197168495,0.058140644252490235,0.08337897601851656,0.5926806607935529,0.06938532331173884
GLM,ssp126,2061-2080,MIROC6,12053,2.2204460492503126e-16,0.003910174386661125,0.01841367484606462,0.0520743471300577,0.06457085813747133,0.9001205387499229,0.08439350227913826
MaxEnt,ssp126,2061-2080,MIROC6,12053,1.369029510867037e-6,0.10745315097410946,0.21914918567716613,0.2776811118320229,0.40676208191393326,0.9910131281026223,0.21457590501378548
RF,ssp126,2061-2080,MIROC6,12053,4e-4,0.06799285714285717,0.100518253968254,0.11853192572750774,0.14528492063492068,0.6438865079365075,0.0847594384821332
BRT,ssp245,2061-2080,MIROC6,12053,0.0048027291511882715,0.020773960630577296,0.03467511182206671,0.06649393826948205,0.07147578529980836,0.9103564236877271,0.08883801730450762
GAM,ssp245,2061-2080,MIROC6,12053,4.6313090558370956e-7,0.009019437220085188,0.02915023419986429,0.057535351993210464,0.08407635082985315,0.6708186856288254,0.07154845857023152
GLM,ssp245,2061-2080,MIROC6,12053,2.2204460492503126e-16,0.003295825487735556,0.015672088902665398,0.051919084740029244,0.05906787640584054,0.9798050750537798,0.09802306994545963
MaxEnt,ssp245,2061-2080,MIROC6,12053,1.1407066661250909e-6,0.09157195990822808,0.18533182059845432,0.23923728986145923,0.3487997917287603,0.9801512992500481,0.18917877878394915
RF,ssp245,2061-2080,MIROC6,12053,0.003767857142857143,0.08597619047619046,0.12109761904761908,0.14125541842971323,0.180411904761905,0.6060420634920631,0.07902078815736298
BRT,ssp370,2061-2080,MIROC6,12053,0.0053522978112662935,0.026388420455143387,0.04363122373203023,0.08967447657824823,0.10405066936941583,0.8657023687368723,0.11475599779154423
GAM,ssp370,2061-2080,MIROC6,12053,3.102328505754913e-7,0.010129609749662065,0.04356305700904594,0.08473721996160669,0.12337688734945244,0.798290460928379,0.10538721789582914
GLM,ssp370,2061-2080,MIROC6,12053,2.2204460492503126e-16,0.0031942604598506306,0.019649048378315364,0.0782244228336839,0.0782222415801228,0.9983528246304132,0.1488262434495422
MaxEnt,ssp370,2061-2080,MIROC6,12053,8.394128132582779e-7,0.07526015525725638,0.15117604113507066,0.19883870305624163,0.28933284978080076,0.965589370058567,0.16163604826218772
RF,ssp370,2061-2080,MIROC6,12053,0.026228571428571427,0.10965119047619049,0.16576269841269842,0.17158707300033318,0.22251031746031755,0.5883833333333336,0.07458381202981369
BRT,ssp585,2061-2080,MIROC6,12053,0.010619044877647924,0.03329211089911304,0.062349485303469676,0.11024928934825716,0.14262824059026144,0.8748475396656061,0.11896356671821409
GAM,ssp585,2061-2080,MIROC6,12053,3.198193503536e-7,0.02132665632864323,0.09248107159601715,0.1496261910232864,0.22973441777825324,0.9042648256534886,0.1610872427758974
GLM,ssp585,2061-2080,MIROC6,12053,2.2204460492503126e-16,0.00520399818111946,0.04299406276085598,0.15963733510346398,0.18565591092011724,0.99995407317374,0.24653469566320516
MaxEnt,ssp585,2061-2080,MIROC6,12053,5.500885411624523e-7,0.05704671951946627,0.11540214856986875,0.15419452638754777,0.22282425924152427,0.9237196171046693,0.12808492012282063
RF,ssp585,2061-2080,MIROC6,12053,0.05555317460317462,0.1716555555555555,0.22093333333333337,0.21971047743497962,0.2618412698412698,0.5893146825396827,0.07378546029961844
