cenario,classe_nome,area_km2,n_pixels,area_total_km2,proporcao,area_mil_km2
ssp126,Inadequado estável,2999774.368834354,8842,3735324.8790827375,0.8030825874431012,2999.774368834354
ssp126,Perda potencial,213480.46704548565,627,3735324.8790827375,0.05715178035542355,213.48046704548565
ssp126,Ganho potencial,20944.70786758816,62,3735324.8790827375,0.0056071984487548595,20.94470786758816
ssp126,Adequado estável,501125.3353353098,1471,3735324.8790827375,0.1341584337527204,501.1253353353098
ssp245,Inadequado estável,2965342.9092720314,8740,3735324.8790827375,0.7938647922908955,2965.342909272031
ssp245,Perda potencial,324977.9374274855,954,3735324.8790827375,0.08700125101495548,324.9779374274855
ssp245,Ganho potencial,55376.16742991048,164,3735324.8790827375,0.014824993600960592,55.37616742991048
ssp245,Adequado estável,389627.86495331,1144,3735324.8790827375,0.10430896309318849,389.62786495331
ssp370,Inadequado estável,2837292.573443784,8361,3735324.8790827375,0.7595838823370357,2837.292573443784
ssp370,Perda potencial,290315.4297129207,852,3735324.8790827375,0.07772160096130963,290.31542971292066
ssp370,Ganho potencial,183426.5032581583,543,3735324.8790827375,0.04910590355482046,183.4265032581583
ssp370,Adequado estável,424290.3726678748,1246,3735324.8790827375,0.11358861314683433,424.2903726678748
ssp585,Inadequado estável,2487166.505042703,7326,3735324.8790827375,0.6658501162697961,2487.1665050427027
ssp585,Perda potencial,190519.0766694274,559,3735324.8790827375,0.0510046870986526,190.5190766694274
ssp585,Ganho potencial,533552.5716592392,1578,3735324.8790827375,0.14283966962205993,533.5525716592392
ssp585,Adequado estável,524086.7257113681,1539,3735324.8790827375,0.14030552700949137,524.0867257113681
