periodo_1,periodo_2,distancia
Último Interglacial,Último Interglacial,0
Último Máximo Glacial,Último Interglacial,4.032897744012634
Holoceno Médio,Último Interglacial,1.003938177460343
Atual,Último Interglacial,0.7549112996505005
Último Interglacial,Último Máximo Glacial,4.032897744012634
Último Máximo Glacial,Último Máximo Glacial,0
Holoceno Médio,Último Máximo Glacial,3.0300043211004546
Atual,Último Máximo Glacial,3.279808256186773
Último Interglacial,Holoceno Médio,1.003938177460343
Último Máximo Glacial,Holoceno Médio,3.0300043211004546
Holoceno Médio,Holoceno Médio,0
Atual,Holoceno Médio,0.24983822749303625
Último Interglacial,Atual,0.7549112996505005
Último Máximo Glacial,Atual,3.279808256186773
Holoceno Médio,Atual,0.24983822749303625
Atual,Atual,0
