classe_nome,periodo,periodo_legenda,limiar,area_km2,n_pixels,area_total_km2,proporcao
Adequado apenas atual,lig,Último Interglacial,0.20626672259799392,124698.06614574177,366,4094378.473072502,0.03045592071320312
Adequado apenas passado,lig,Último Interglacial,0.20626672259799392,101467.41177572375,300,4094378.473072502,0.02478212809173467
Estável adequado,lig,Último Interglacial,0.20626672259799392,708469.9706268988,2079,4094378.473072502,0.1730348025436078
Inadequado em ambos,lig,Último Interglacial,0.20626672259799392,3159743.0245241374,9308,4094378.473072502,0.7717271486514544
Adequado apenas atual,lgm,Último Máximo Glacial,0.20626672259799392,3707.540219720215,11,4094378.473072502,9.055196641208414e-4
Adequado apenas passado,lgm,Último Máximo Glacial,0.20626672259799392,2529905.7797312704,7441,4094378.473072502,0.6178973918434022
Estável adequado,lgm,Último Máximo Glacial,0.20626672259799392,829460.4965529204,2434,4094378.473072502,0.2025852035926901
Inadequado em ambos,lgm,Último Máximo Glacial,0.20626672259799392,731304.6565685909,2167,4094378.473072502,0.17861188489978688
Adequado apenas atual,holoceno_medio,Holoceno Médio,0.20626672259799392,8138.981710160799,24,4094378.4730725014,0.0019878430300687734
Adequado apenas passado,holoceno_medio,Holoceno Médio,0.20626672259799392,109623.73556381746,322,4094378.4730725014,0.02677420670433373
Estável adequado,holoceno_medio,Holoceno Médio,0.20626672259799392,825029.0550624798,2421,4094378.4730725014,0.20150288022674218
Inadequado em ambos,holoceno_medio,Holoceno Médio,0.20626672259799392,3151586.7007360435,9286,4094378.4730725014,0.7697350700388553
