modelo,periodo,periodo_legenda,media,mediana,min,max,sd
BRT,lig,Último Interglacial,0.07152543307231518,0.03645733699464878,0.004767744272988239,0.8732527232568674,0.09606877248966542
GAM,lig,Último Interglacial,0.07125074120634659,0.03529749644348466,5.719088837570138e-7,0.6275814153922584,0.08480395644533727
GLM,lig,Último Interglacial,0.06543573608442566,0.020371177961731657,2.2204460492503126e-16,0.9183332402897278,0.1042209069537509
Maxent,lig,Último Interglacial,0.30060050727355014,0.2357866309638872,1.5784807214647145e-6,0.9962930120708976,0.23417075564702086
Random_Forest,lig,Último Interglacial,0.1305436638642293,0.10992023809523808,0,0.648619444444444,0.08965365618258365
BRT,lgm,Último Máximo Glacial,0.059814544500655493,0.034416733462690016,0.006258666960708188,0.8915445179230778,0.07360631532603465
GAM,lgm,Último Máximo Glacial,0.4052640133611296,0.4232078501281351,1.6245438624301707e-6,0.9761727272601972,0.2702759919993357
GLM,lgm,Último Máximo Glacial,0.8154520660131516,0.9982496205180602,1.254862713049489e-11,0.9999988104376666,0.33899758260265916
Maxent,lgm,Último Máximo Glacial,0.5629315963923678,0.5862227905827411,4.0238973768591535e-6,0.9999999886241725,0.270271756773537
Random_Forest,lgm,Último Máximo Glacial,0.13072025982466332,0.12493611111111112,0.01743214285714285,0.5419829365079366,0.06569294004864011
BRT,holoceno_medio,Holoceno Médio,0.07059231336100202,0.031545590143286374,0.005544024750440792,0.8771064269857118,0.10399817441915264
GAM,holoceno_medio,Holoceno Médio,0.0937296219684617,0.05170343218376362,1.2035001746994478e-6,0.7237250054538833,0.11145461683337261
GLM,holoceno_medio,Holoceno Médio,0.10123026154567201,0.0472583133583992,2.2204460492503126e-16,0.80687470717848,0.13416223437008737
Maxent,holoceno_medio,Holoceno Médio,0.3381097919620692,0.2823110626740536,1.744994674646172e-6,0.998699231342956,0.24395000443409381
Random_Forest,holoceno_medio,Holoceno Médio,0.07946985651336229,0.04543492063492065,0,0.7403940476190469,0.09179639045749358
