periodo,periodo_legenda,classe_nome,area_km2,area_mil_km2,n_pixels,area_total_km2,proporcao
holoceno_medio,Holoceno Médio,Inadequado em ambos,2924076.094989795,2924.076094989795,8620,3735324.8790827375,0.7828170747246606
holoceno_medio,Holoceno Médio,Adequado apenas passado,96642.98171214724,96.64298171214725,284,3735324.8790827375,0.02587271116719553
holoceno_medio,Holoceno Médio,Adequado apenas atual,6772.889985462969,6.772889985462969,20,3735324.8790827375,0.001813199709452354
holoceno_medio,Holoceno Médio,Estável adequado,707832.9123953325,707.8329123953325,2078,3735324.8790827375,0.1894970143986916
lgm,Último Máximo Glacial,Inadequado em ambos,727208.833112696,727.208833112696,2155,3735324.8790827375,0.1946842260454926
lgm,Último Máximo Glacial,Adequado apenas passado,2293510.243589246,2293.5102435892463,6749,3735324.8790827375,0.6140055598463635
lgm,Último Máximo Glacial,Adequado apenas atual,3707.540219720215,3.707540219720215,11,3735324.8790827375,9.92561648514668e-4
lgm,Último Máximo Glacial,Estável adequado,710898.2621610753,710.8982621610753,2087,3735324.8790827375,0.19031765245962928
lig,Último Interglacial,Inadequado em ambos,2923008.3482172354,2923.0083482172354,8615,3735324.8790827375,0.7825312236120736
lig,Último Interglacial,Adequado apenas passado,97710.72848470666,97.71072848470666,289,3735324.8790827375,0.026158562279782457
lig,Último Interglacial,Adequado apenas atual,111372.58460748677,111.37258460748677,327,3735324.8790827375,0.029816036947992567
lig,Último Interglacial,Estável adequado,603233.2177733087,603.2332177733088,1771,3735324.8790827375,0.1614941771601514
